DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;
Casos Prováveis por Município infecção e Sexo;;;;;
Período:2015;;;;;
Município infecção;Em Branco;Ignorado;Masculino;Feminino;Total
350580 Bastos;-;-;231;237;468
350590 Batatais;-;-;254;306;560
350600 Bauru;1;-;3992;4689;8682
350610 Bebedouro;-;-;2961;3372;6333
350620 Bento de Abreu;-;-;2;1;3
350630 Bernardino de Campos;-;-;29;30;59
350635 Bertioga;-;1;222;254;477
350640 Bilac;-;-;96;117;213
350650 Birigui;-;6;2163;2430;4599
350660 Biritiba-Mirim;-;-;5;11;16
350670 Boa Esperança do Sul;-;-;50;58;108
350680 Bocaina;-;-;26;47;73
350690 Bofete;-;-;4;2;6
350700 Boituva;1;-;420;432;853
350710 Bom Jesus dos Perdões;-;-;141;151;292
350720 Borá;-;-;3;4;7
350730 Boracéia;-;-;11;9;20
350740 Borborema;-;-;247;323;570
350745 Borebi;-;-;1;-;1
350750 Botucatu;-;-;372;331;703
350760 Bragança Paulista;-;-;301;272;573
350770 Braúna;-;-;63;99;162
350775 Brejo Alegre;-;-;5;4;9
350780 Brodowski;-;-;113;171;284
350790 Brotas;-;-;132;139;271
350800 Buri;-;-;103;116;219
350810 Buritama;-;-;354;491;845
350820 Buritizal;-;-;1;-;1
350830 Cabrália Paulista;-;-;51;60;111
350840 Cabreúva;-;-;58;70;128
350850 Caçapava;-;1;463;470;934
350860 Cachoeira Paulista;-;-;199;182;381
350870 Caconde;-;-;42;43;85
350880 Cafelândia;-;-;97;126;223
350890 Caiabu;-;-;6;7;13
350900 Caieiras;1;-;120;165;286
350910 Caiuá;-;-;2;12;14
350920 Cajamar;-;11;1454;1491;2956
350925 Cajati;-;-;7;5;12
350930 Cajobi;-;-;59;80;139
350940 Cajuru;-;-;345;474;819
350945 Campina do Monte Alegre;-;-;1;1;2
350950 Campinas;5;1335;26302;32013;59655
350960 Campo Limpo Paulista;-;-;205;218;423
350970 Campos do Jordão;-;-;4;2;6
350980 Campos Novos Paulista;-;-;9;22;31
350990 Cananéia;-;-;14;18;32
350995 Canas;-;-;14;13;27
351000 Cândido Mota;-;-;1772;2429;4201
351010 Cândido Rodrigues;-;-;11;11;22
351015 Canitar;-;-;-;8;8
351020 Capão Bonito;-;-;26;44;70
351030 Capela do Alto;-;-;7;3;10
351040 Capivari;-;1;520;611;1132
351050 Caraguatatuba;-;3;1083;1299;2385
351060 Carapicuíba;1;1;1175;1180;2357
351070 Cardoso;-;-;24;23;47
351080 Casa Branca;-;-;356;447;803
351100 Castilho;-;-;226;347;573
351110 Catanduva;2;4;4933;6135;11074
351120 Catiguá;-;-;89;109;198
351130 Cedral;-;-;164;256;420
351140 Cerqueira César;-;-;6;6;12
351150 Cerquilho;-;-;77;105;182
351160 Cesário Lange;-;-;7;9;16
351170 Charqueada;-;-;16;44;60
355720 Chavantes;-;-;30;49;79
351190 Clementina;-;-;10;12;22
351200 Colina;-;-;242;339;581
351210 Colômbia;-;-;94;105;199
351220 Conchal;-;1;860;1186;2047
351230 Conchas;-;-;381;452;833
351240 Cordeirópolis;-;-;288;346;634
351250 Coroados;-;-;17;31;48
351260 Coronel Macedo;-;-;2;4;6
351270 Corumbataí;-;-;49;70;119
351280 Cosmópolis;-;-;76;74;150
351290 Cosmorama;-;-;29;43;72
351300 Cotia;-;-;637;674;1311
351310 Cravinhos;-;-;49;54;103
351320 Cristais Paulista;-;1;-;2;3
351330 Cruzália;-;-;27;59;86
351340 Cruzeiro;-;-;101;132;233
351350 Cubatão;1;-;91;117;209
351360 Cunha;-;-;6;2;8
351370 Descalvado;-;-;531;699;1230
351380 Diadema;-;-;1172;1122;2294
351385 Dirce Reis;-;-;8;25;33
351390 Divinolândia;-;-;-;1;1
351400 Dobrada;-;-;19;27;46
351410 Dois Córregos;-;-;188;221;409
351420 Dolcinópolis;-;1;45;59;105
351430 Dourado;-;-;6;4;10
351440 Dracena;-;-;506;700;1206
351450 Duartina;-;-;26;34;60
351460 Dumont;-;-;92;123;215
351470 Echaporã;-;-;30;31;61
351480 Eldorado;-;-;-;1;1
351490 Elias Fausto;-;-;354;478;832
351492 Elisiário;-;-;62;56;118
351495 Embaúba;-;-;37;46;83
351500 Embu das Artes;-;-;400;499;899
351510 Embu-Guaçu;-;-;16;18;34
351512 Emilianópolis;-;-;1;-;1
351515 Engenheiro Coelho;-;-;233;273;506
351518 Espírito Santo do Pinhal;-;-;701;716;1417
351519 Espírito Santo do Turvo;-;-;3;11;14
355730 Estiva Gerbi;-;-;2;3;5
351520 Estrela d'Oeste;-;1;654;726;1381
351530 Estrela do Norte;-;-;3;1;4
351535 Euclides da Cunha Paulista;-;-;2;1;3
351540 Fartura;-;-;59;82;141
351560 Fernando Prestes;-;-;4;9;13
351550 Fernandópolis;-;-;516;633;1149
351565 Fernão;-;-;2;1;3
351570 Ferraz de Vasconcelos;1;3;334;317;655
351580 Flora Rica;-;-;3;3;6
351590 Floreal;-;-;8;10;18
351600 Flórida Paulista;-;-;361;380;741
351610 Florínia;-;-;15;37;52
351620 Franca;-;-;874;904;1778
351630 Francisco Morato;-;37;421;514;972
351640 Franco da Rocha;-;-;327;343;670
351650 Gabriel Monteiro;-;-;2;1;3
351660 Gália;-;-;128;160;288
351670 Garça;-;-;632;776;1408
351680 Gastão Vidigal;-;-;9;13;22
351685 Gavião Peixoto;-;-;1;4;5
351690 General Salgado;-;-;14;16;30
351700 Getulina;-;-;320;439;759
351710 Glicério;-;-;76;88;164
351720 Guaiçara;-;-;187;224;411
351730 Guaimbê;-;-;278;317;595
351740 Guaíra;-;-;590;753;1343
351750 Guapiaçu;-;-;46;68;114
351760 Guapiara;-;-;-;1;1
351770 Guará;-;-;56;118;174
351780 Guaraçaí;-;-;42;56;98
351790 Guaraci;-;-;60;65;125
351800 Guarani d'Oeste;-;-;6;12;18
351810 Guarantã;-;-;109;157;266
351820 Guararapes;-;-;1118;1410;2528
351830 Guararema;-;-;76;103;179
351840 Guaratinguetá;-;-;495;583;1078
351850 Guareí;-;-;-;4;4
351860 Guariba;-;-;233;264;497
351870 Guarujá;-;-;658;697;1355
351880 Guarulhos;2;20;11496;12740;24258
351885 Guatapará;-;-;58;59;117
351890 Guzolândia;-;-;38;54;92
351900 Herculândia;-;-;39;71;110
351905 Holambra;-;2;121;112;235
351907 Hortolândia;-;48;2670;3140;5858
351910 Iacanga;-;-;55;54;109
351920 Iacri;-;-;40;44;84
351925 Iaras;-;-;2;1;3
351930 Ibaté;-;-;295;315;610
351940 Ibirá;-;-;198;222;420
351950 Ibirarema;-;-;103;142;245
351960 Ibitinga;-;-;393;410;803
351970 Ibiúna;-;-;11;16;27
351980 Icém;-;-;108;135;243
351990 Iepê;-;-;41;49;90
352000 Igaraçu do Tietê;-;-;1;3;4
352010 Igarapava;-;-;4;1;5
352020 Igaratá;-;-;46;54;100
352030 Iguape;-;-;83;113;196
352042 Ilha Comprida;-;-;98;130;228
352044 Ilha Solteira;-;-;236;392;628
352040 Ilhabela;-;-;419;497;916
352050 Indaiatuba;-;2;909;1057;1968
352060 Indiana;-;-;25;18;43
352070 Indiaporã;-;-;1;8;9
352080 Inúbia Paulista;-;-;88;81;169
352090 Ipaussu;-;-;142;167;309
352100 Iperó;1;-;1011;1052;2064
352110 Ipeúna;-;-;80;97;177
352115 Ipiguá;-;-;61;70;131
352120 Iporanga;-;-;1;-;1
352130 Ipuã;-;-;23;23;46
352140 Iracemápolis;-;1;240;299;540
352150 Irapuã;-;-;72;70;142
352160 Irapuru;-;-;34;31;65
352170 Itaberá;-;-;7;11;18
352180 Itaí;-;-;30;33;63
352190 Itajobi;-;-;48;45;93
352200 Itaju;-;-;-;3;3
352210 Itanhaém;-;30;1790;2394;4214
352215 Itaóca;-;-;1;-;1
352220 Itapecerica da Serra;-;1;619;755;1375
352230 Itapetininga;-;-;192;230;422
352240 Itapeva;-;-;87;91;178
352250 Itapevi;-;1;966;1157;2124
352260 Itapira;-;-;2035;2545;4580
352270 Itápolis;-;-;365;452;817
352280 Itaporanga;-;-;15;19;34
352290 Itapuí;-;-;67;74;141
352300 Itapura;-;-;38;56;94
352310 Itaquaquecetuba;1;-;568;562;1131
352320 Itararé;-;-;10;4;14
352330 Itariri;-;-;251;337;588
352340 Itatiba;-;-;57;68;125
352350 Itatinga;-;-;1;7;8
352360 Itirapina;-;1;277;319;597
352370 Itirapuã;-;-;13;15;28
352380 Itobi;-;-;44;37;81
352390 Itu;-;1;656;701;1358
352400 Itupeva;-;-;90;71;161
352410 Ituverava;-;-;38;64;102
352420 Jaborandi;-;-;9;33;42
352430 Jaboticabal;-;-;88;107;195
352440 Jacareí;-;4;1502;1760;3266
352450 Jaci;-;-;92;112;204
352460 Jacupiranga;-;-;26;25;51
352470 Jaguariúna;-;1;561;556;1118
352480 Jales;1;-;1353;1997;3351
352490 Jambeiro;-;-;8;7;15
352500 Jandira;1;2;557;656;1216
352510 Jardinópolis;-;14;120;142;276
352520 Jarinu;-;-;12;15;27
352530 Jaú;-;-;104;136;240
352540 Jeriquara;-;-;1;3;4
352550 Joanópolis;-;-;1;3;4
352560 João Ramalho;-;-;17;21;38
352570 José Bonifácio;-;-;259;338;597
352580 Júlio Mesquita;-;-;137;162;299
352585 Jumirim;-;-;2;1;3
352590 Jundiaí;-;1;1822;1969;3792
352600 Junqueirópolis;-;-;259;330;589
352610 Juquiá;-;-;28;24;52
352620 Juquitiba;-;-;10;9;19
352640 Laranjal Paulista;-;-;76;72;148
352650 Lavínia;-;-;58;90;148
352660 Lavrinhas;-;-;3;3;6
352670 Leme;-;-;90;100;190
352680 Lençóis Paulista;-;3;189;217;409
352690 Limeira;-;10;9012;10501;19523
352700 Lindóia;-;-;17;18;35
352710 Lins;-;-;711;1050;1761
352720 Lorena;-;1;774;898;1673
352725 Lourdes;-;-;8;12;20
352730 Louveira;-;-;172;184;356
352740 Lucélia;-;-;124;156;280
352750 Lucianópolis;-;-;3;4;7
352760 Luís Antônio;-;-;58;84;142
352770 Luiziânia;-;-;19;27;46
352780 Lupércio;-;-;14;24;38
352790 Lutécia;-;-;22;31;53
352800 Macatuba;-;-;50;44;94
352810 Macaubal;-;-;26;20;46
352820 Macedônia;-;-;15;16;31
352830 Magda;-;-;15;23;38
352840 Mairinque;-;-;91;106;197
352850 Mairiporã;-;1;95;95;191
352860 Manduri;-;-;2;-;2
352870 Marabá Paulista;-;-;7;5;12
352880 Maracaí;-;-;230;287;517
352885 Marapoama;-;-;25;27;52
352890 Mariápolis;-;-;70;86;156
352900 Marília;-;5;8065;10216;18286
352910 Marinópolis;-;-;10;13;23
352920 Martinópolis;-;-;34;56;90
352930 Matão;-;1;330;370;701
352940 Mauá;-;-;230;255;485
352950 Mendonça;-;-;171;173;344
352960 Meridiano;-;-;25;40;65
352965 Mesópolis;-;-;23;32;55
352970 Miguelópolis;-;-;8;5;13
352980 Mineiros do Tietê;-;-;11;15;26
353000 Mira Estrela;-;-;11;22;33
352990 Miracatu;-;1;212;318;531
353010 Mirandópolis;-;-;210;316;526
353020 Mirante do Paranapanema;-;-;38;66;104
353030 Mirassol;-;-;208;238;446
353040 Mirassolândia;-;-;36;62;98
353050 Mococa;-;-;1429;1942;3371
353060 Mogi das Cruzes;-;-;389;384;773
353070 Mogi Guaçu;-;1;4049;4776;8826
353080 Mogi Mirim;-;1;94;83;178
353090 Mombuca;-;-;10;12;22
353100 Monções;-;-;30;27;57
353110 Mongaguá;-;-;434;499;933
353120 Monte Alegre do Sul;-;1;9;12;22
353130 Monte Alto;-;-;126;139;265
353140 Monte Aprazível;-;-;239;359;598
353150 Monte Azul Paulista;-;-;158;220;378
353160 Monte Castelo;-;-;3;9;12
353180 Monte Mor;-;8;343;483;834
353170 Monteiro Lobato;-;-;1;-;1
353190 Morro Agudo;-;-;35;38;73
353200 Morungaba;-;-;10;6;16
353205 Motuca;-;-;1;4;5
353210 Murutinga do Sul;-;-;48;48;96
353215 Nantes;-;-;8;5;13
353220 Narandiba;-;-;3;12;15
353230 Natividade da Serra;-;-;3;2;5
353240 Nazaré Paulista;-;-;3;1;4
353250 Neves Paulista;-;-;334;449;783
353260 Nhandeara;-;-;34;37;71
353270 Nipoã;-;-;40;94;134
353280 Nova Aliança;-;-;54;68;122
353284 Nova Canaã Paulista;-;-;128;157;285
353290 Nova Europa;-;-;1;2;3
353300 Nova Granada;-;-;55;71;126
353310 Nova Guataporanga;-;-;25;41;66
353320 Nova Independência;-;-;21;34;55
353330 Nova Luzitânia;-;-;7;4;11
353340 Nova Odessa;-;1;859;956;1816
353325 Novais;-;-;15;36;51
353350 Novo Horizonte;-;-;129;164;293
353360 Nuporanga;-;-;86;92;178
353370 Ocauçu;-;-;12;15;27
353390 Olímpia;-;-;234;271;505
353400 Onda Verde;-;-;353;367;720
353410 Oriente;-;-;85;99;184
353420 Orindiúva;-;-;51;57;108
353430 Orlândia;-;-;194;241;435
353440 Osasco;-;1;455;461;917
353450 Oscar Bressane;-;-;13;17;30
353460 Osvaldo Cruz;-;-;374;468;842
353470 Ourinhos;-;-;2742;3541;6283
353480 Ouro Verde;-;1;65;69;135
353475 Ouroeste;-;-;112;134;246
353490 Pacaembu;-;-;71;96;167
353500 Palestina;-;-;115;155;270
353510 Palmares Paulista;-;-;189;231;420
353520 Palmeira d'Oeste;-;-;7;17;24
353530 Palmital;-;-;187;240;427
353540 Panorama;-;-;64;83;147
353550 Paraguaçu Paulista;-;4;1899;2474;4377
353560 Paraibuna;-;-;37;41;78
353570 Paraíso;-;-;30;27;57
353580 Paranapanema;-;-;31;45;76
353590 Paranapuã;-;-;20;16;36
