DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;;;
Casos Prováveis por Município infecção e Raça;;;;;;;
Período:2016;;;;;;;
Município infecção;Ign/Branco;Branca;Preta;Amarela;Parda;Indigena;Total
292670 Rio de Contas;-;-;1;-;-;-;1
292690 Rio do Pires;-;-;-;-;1;-;1
292740 Salvador;1;7;-;-;3;-;11
292860 Santo Amaro;1;-;-;-;-;-;1
292870 Santo Antônio de Jesus;-;1;1;-;-;-;2
293015 Serra do Ramalho;-;-;-;-;1;-;1
293070 Simões Filho;-;-;1;-;-;-;1
293105 Tanque Novo;1;-;-;-;-;-;1
293135 Teixeira de Freitas;-;1;-;-;-;-;1
293180 Tremedal;-;1;-;-;-;-;1
293330 Vitória da Conquista;1;4;-;-;3;-;8
290000 Município ignorado - BA;-;1;-;-;1;-;2
310060 Água Boa;-;-;-;-;1;-;1
310070 Água Comprida;-;-;-;-;1;-;1
310160 Alfenas;-;7;-;-;-;-;7
310190 Alpinópolis;-;1;-;-;-;-;1
310260 Andradas;-;1;-;-;-;-;1
310350 Araguari;-;-;-;-;1;-;1
310360 Arantina;-;1;-;-;-;-;1
310430 Areado;-;1;-;-;-;-;1
310480 Augusto de Lima;-;1;-;-;-;-;1
310490 Baependi;1;-;-;-;-;-;1
310500 Baldim;-;1;-;-;-;-;1
310600 Bela Vista de Minas;-;-;-;-;2;-;2
310620 Belo Horizonte;16;33;4;-;9;-;62
310670 Betim;3;-;-;-;-;-;3
310730 Bocaiúva;1;-;-;-;-;-;1
310750 Bom Jardim de Minas;-;1;-;-;-;-;1
310830 Borda da Mata;1;-;-;-;-;-;1
310860 Brasília de Minas;-;1;-;-;-;-;1
310890 Brazópolis;1;-;-;-;-;-;1
311050 Camanducaia;1;-;-;-;-;-;1
311130 Campo do Meio;-;1;-;-;-;-;1
311270 Capitão Enéas;1;-;-;-;-;-;1
311320 Carandaí;1;-;-;-;-;-;1
311340 Caratinga;-;2;-;-;1;-;3
311455 Carneirinho;-;1;-;-;-;-;1
311530 Cataguases;-;1;-;-;1;-;2
311547 Catuti;-;1;-;-;-;-;1
311570 Central de Minas;-;1;-;-;-;-;1
311650 Claro dos Poções;-;1;-;-;-;-;1
311660 Cláudio;1;-;-;-;1;-;2
311670 Coimbra;1;1;-;-;-;-;2
311730 Conceição das Alagoas;-;1;-;-;-;-;1
311770 Conceição do Rio Verde;-;2;-;-;-;-;2
311860 Contagem;2;7;-;-;-;-;9
311910 Corinto;-;2;-;-;3;-;5
311930 Coromandel;-;1;-;-;-;-;1
312090 Curvelo;-;-;-;-;2;-;2
312110 Delfim Moreira;-;1;-;-;-;-;1
312190 Divinésia;2;-;-;-;-;-;2
312230 Divinópolis;-;3;-;-;-;-;3
312240 Divisa Nova;-;1;-;-;-;-;1
312410 Esmeraldas;1;1;-;-;1;-;3
312430 Espinosa;-;1;-;-;-;-;1
312510 Extrema;1;-;-;-;-;-;1
312520 Fama;-;2;-;-;-;-;2
312640 Fortuna de Minas;-;-;1;-;-;-;1
312700 Fronteira;1;24;2;-;4;-;31
312710 Frutal;-;4;1;-;-;-;5
312770 Governador Valadares;-;3;-;-;2;-;5
312830 Guaranésia;-;3;-;-;-;-;3
312870 Guaxupé;-;1;-;-;-;-;1
312880 Guidoval;-;1;-;-;-;-;1
312930 Iapu;-;1;-;-;-;-;1
312970 Ibiraci;-;1;-;-;-;-;1
312980 Ibirité;1;-;-;-;-;-;1
313090 Inhapim;-;1;-;-;-;-;1
313100 Inhaúma;1;-;-;-;-;-;1
313130 Ipatinga;2;-;-;-;-;-;2
313240 Itajubá;1;3;-;-;-;-;4
313300 Itamonte;-;1;-;-;-;-;1
313320 Itanhomi;-;1;-;-;-;-;1
313340 Itapagipe;-;2;-;-;-;-;2
313420 Ituiutaba;-;1;-;-;-;-;1
313440 Iturama;-;7;1;-;3;-;11
313480 Jacuí;-;1;-;-;-;-;1
313490 Jacutinga;-;-;-;-;1;-;1
313570 Jequitibá;-;-;-;-;1;-;1
313620 João Monlevade;-;1;-;-;-;-;1
313670 Juiz de Fora;4;2;1;-;3;-;10
313760 Lagoa Santa;-;1;-;-;-;-;1
313820 Lavras;1;-;-;1;-;-;2
313920 Malacacheta;-;1;-;-;-;-;1
314000 Mariana;-;1;-;-;-;-;1
314053 Martins Soares;1;1;-;-;-;-;2
314140 Medina;-;1;-;-;1;-;2
314180 Minas Novas;3;1;-;-;-;-;4
314290 Monte Azul;1;1;-;-;1;-;3
314300 Monte Belo;-;-;1;-;-;-;1
314320 Monte Santo de Minas;-;1;-;-;-;-;1
314330 Montes Claros;-;5;-;-;-;-;5
314390 Muriaé;1;-;-;-;1;-;2
314520 Nova Serrana;-;1;-;-;-;-;1
314600 Ouro Fino;-;1;-;-;-;-;1
314620 Ouro Verde de Minas;-;1;-;-;1;-;2
314625 Padre Carvalho;-;1;-;-;-;-;1
314710 Pará de Minas;-;2;-;-;1;-;3
314700 Paracatu;1;-;1;-;-;-;2
314730 Paraisópolis;-;1;-;-;-;-;1
314760 Passa Quatro;-;1;-;-;-;-;1
314790 Passos;-;2;-;-;-;-;2
314795 Patis;-;1;-;-;-;-;1
314930 Pedro Leopoldo;1;-;-;-;-;-;1
314980 Perdizes;-;1;-;-;-;-;1
315070 Pirajuba;-;1;-;-;-;-;1
315090 Piranguçu;-;1;-;-;-;-;1
315120 Pirapora;-;2;-;-;-;-;2
315180 Poços de Caldas;1;1;-;-;-;-;2
315200 Pompéu;-;3;-;-;1;-;4
315210 Ponte Nova;1;1;-;-;1;-;3
315250 Pouso Alegre;-;1;-;-;-;-;1
315260 Pouso Alto;-;1;-;-;-;-;1
315280 Prata;-;1;-;-;-;-;1
315410 Recreio;-;2;-;-;-;-;2
315460 Ribeirão das Neves;-;-;-;-;2;-;2
315510 Rio do Prado;-;-;-;-;1;-;1
315580 Rio Pomba;-;1;-;-;-;-;1
315690 Sacramento;4;-;-;-;-;-;4
315727 Santa Bárbara do Monte Verde;1;-;-;1;-;-;2
315737 Santa Cruz de Salinas;-;1;-;-;-;-;1
315900 Santana do Riacho;-;-;-;-;1;-;1
316060 Santo Hipólito;-;-;-;-;1;-;1
316250 São João del Rei;1;2;-;-;-;-;3
316400 São Pedro dos Ferros;-;1;-;-;-;-;1
316470 São Sebastião do Paraíso;-;1;-;-;-;-;1
316520 São Thomé das Letras;1;-;-;-;-;-;1
316540 Sapucaí-Mirim;-;1;-;-;-;-;1
316570 Senador Firmino;-;-;1;-;-;-;1
316600 Senhora de Oliveira;-;1;-;-;-;-;1
316720 Sete Lagoas;1;-;-;-;1;-;2
316790 Tabuleiro;-;1;-;-;-;-;1
316860 Teófilo Otoni;2;-;-;-;-;-;2
316870 Timóteo;1;-;-;-;-;-;1
316900 Tocantins;-;2;-;-;-;-;2
316960 Tupaciguara;-;1;-;-;-;-;1
316970 Turmalina;-;1;-;-;-;-;1
316990 Ubá;6;6;3;-;5;-;20
317010 Uberaba;4;15;-;-;1;-;20
317020 Uberlândia;4;3;1;-;-;-;8
317057 Vargem Alegre;1;-;-;-;-;-;1
317070 Varginha;1;-;-;-;-;-;1
317130 Viçosa;-;2;-;-;-;-;2
317170 Virgínia;-;1;-;-;-;-;1
317200 Visconde do Rio Branco;2;4;-;-;-;-;6
310000 Município ignorado - MG;-;2;-;-;1;-;3
320100 Boa Esperança;-;1;-;-;-;-;1
320110 Bom Jesus do Norte;1;-;-;-;-;-;1
320130 Cariacica;-;-;-;-;1;-;1
320240 Guarapari;-;3;-;-;-;-;3
320313 João Neiva;-;1;-;-;-;-;1
320490 São Mateus;-;-;-;-;1;-;1
320500 Serra;1;-;-;-;-;-;1
320530 Vitória;1;3;-;-;-;-;4
330010 Angra dos Reis;-;1;-;-;-;-;1
330020 Araruama;1;-;-;-;-;-;1
330025 Arraial do Cabo;1;2;-;-;-;-;3
330030 Barra do Piraí;-;1;-;-;-;-;1
330040 Barra Mansa;-;-;-;-;1;-;1
330045 Belford Roxo;-;1;-;-;-;-;1
330070 Cabo Frio;1;5;-;-;-;-;6
330100 Campos dos Goytacazes;-;-;-;-;1;-;1
330140 Conceição de Macabu;-;1;-;-;-;-;1
330150 Cordeiro;-;-;-;-;1;-;1
330190 Itaboraí;-;1;-;-;1;-;2
330200 Itaguaí;-;-;-;-;1;-;1
330225 Itatiaia;-;1;-;-;-;-;1
330240 Macaé;-;1;-;-;-;-;1
330260 Mangaratiba;-;2;-;-;-;-;2
330310 Natividade;-;1;-;-;-;-;1
330320 Nilópolis;-;1;-;-;-;-;1
330330 Niterói;1;1;-;-;-;-;2
330340 Nova Friburgo;-;1;-;-;-;-;1
330350 Nova Iguaçu;-;1;-;-;-;-;1
330380 Paraty;-;2;-;-;-;-;2
330390 Petrópolis;1;-;-;1;-;-;2
330452 Rio das Ostras;1;1;-;-;-;-;2
330455 Rio de Janeiro;16;47;1;-;10;-;74
330490 São Gonçalo;-;1;-;-;-;-;1
330540 Sapucaia;1;-;-;-;-;-;1
330555 Seropédica;-;1;-;-;-;-;1
330600 Três Rios;-;-;-;-;1;-;1
330615 Varre-Sai;-;1;-;-;-;-;1
330630 Volta Redonda;1;-;-;-;-;-;1
350010 Adamantina;-;94;2;2;6;-;104
350020 Adolfo;13;104;-;-;6;-;123
350030 Aguaí;-;18;-;1;2;-;21
350040 Águas da Prata;-;1;-;-;-;-;1
350050 Águas de Lindóia;2;11;1;-;2;-;16
350055 Águas de Santa Bárbara;1;-;-;-;-;-;1
350060 Águas de São Pedro;1;5;-;-;-;-;6
350070 Agudos;7;35;1;-;5;-;48
350080 Alfredo Marcondes;-;5;-;-;2;-;7
350090 Altair;-;4;-;-;1;-;5
350100 Altinópolis;3;11;-;-;-;-;14
350110 Alto Alegre;-;2;-;-;-;-;2
350115 Alumínio;1;22;-;1;1;-;25
350120 Álvares Florence;-;16;-;-;3;-;19
350130 Álvares Machado;21;191;11;10;79;-;312
350140 Álvaro de Carvalho;-;1;-;-;-;-;1
350160 Americana;983;88;1;1;5;-;1078
350170 Américo Brasiliense;49;60;7;-;27;-;143
350180 Américo de Campos;1;12;-;-;2;-;15
350190 Amparo;1;18;2;-;8;-;29
350200 Analândia;-;1;-;-;-;-;1
350210 Andradina;45;915;38;21;414;-;1433
350220 Angatuba;10;86;2;-;5;-;103
350230 Anhembi;-;2;-;-;-;-;2
350240 Anhumas;2;27;4;3;15;-;51
350250 Aparecida;3;50;1;-;9;-;63
350260 Aparecida d'Oeste;1;64;2;-;7;-;74
350270 Apiaí;-;1;-;-;-;-;1
350275 Araçariguama;9;3;-;-;3;-;15
350280 Araçatuba;276;309;21;7;102;-;715
350290 Araçoiaba da Serra;1;6;-;-;-;-;7
350300 Aramina;1;7;1;-;9;-;18
350320 Araraquara;533;1066;56;5;137;3;1800
350330 Araras;4;332;13;1;52;-;402
350335 Arco-Íris;-;4;-;-;-;1;5
350340 Arealva;3;13;-;-;1;-;17
350350 Areias;-;1;-;-;-;-;1
350360 Areiópolis;-;2;-;-;-;-;2
350370 Ariranha;-;11;-;-;5;-;16
350380 Artur Nogueira;6;35;1;-;8;-;50
350390 Arujá;3;11;-;1;7;-;22
350395 Aspásia;2;-;-;-;-;-;2
350400 Assis;36;100;-;-;-;-;136
350410 Atibaia;52;18;5;2;8;-;85
350420 Auriflama;5;82;1;-;22;-;110
350430 Avaí;-;1;-;-;-;-;1
350440 Avanhandava;1;7;2;-;3;-;13
350450 Avaré;1;8;-;-;-;-;9
350460 Bady Bassitt;27;126;3;-;8;1;165
350470 Balbinos;-;1;-;-;-;-;1
350480 Bálsamo;1;61;4;-;14;-;80
350490 Bananal;5;6;-;-;1;-;12
350510 Barbosa;2;3;-;-;-;-;5
350520 Bariri;-;6;-;-;3;-;9
350530 Barra Bonita;1;10;1;-;6;-;18
350550 Barretos;52;582;56;12;139;-;841
350560 Barrinha;9;7;-;-;4;-;20
350570 Barueri;19;12;1;-;8;-;40
350580 Bastos;4;44;5;7;29;-;89
350590 Batatais;3325;692;61;1;172;-;4251
350600 Bauru;218;955;47;18;167;1;1406
350610 Bebedouro;-;92;2;-;4;-;98
350620 Bento de Abreu;1;1;-;-;-;-;2
350630 Bernardino de Campos;-;2;-;-;-;-;2
350635 Bertioga;140;348;46;4;293;-;831
350640 Bilac;46;223;7;3;58;1;338
350650 Birigui;565;2802;130;22;694;2;4215
350660 Biritiba-Mirim;-;12;1;1;2;-;16
350670 Boa Esperança do Sul;-;22;-;-;6;-;28
350680 Bocaina;-;10;-;-;1;-;11
350690 Bofete;3;28;1;-;5;-;37
350700 Boituva;3;7;-;-;2;-;12
350710 Bom Jesus dos Perdões;-;1;-;-;-;-;1
350720 Borá;1;-;-;-;-;-;1
350730 Boracéia;-;32;4;-;6;-;42
350740 Borborema;1;51;2;-;4;-;58
350750 Botucatu;2;81;5;1;2;-;91
350760 Bragança Paulista;1;153;5;2;29;-;190
350770 Braúna;-;5;1;-;5;-;11
350775 Brejo Alegre;1;1;-;-;1;-;3
350780 Brodowski;13;261;-;-;24;-;298
350790 Brotas;-;6;-;-;-;-;6
350800 Buri;-;1;-;-;-;-;1
350810 Buritama;4;530;24;-;40;-;598
350820 Buritizal;-;2;-;-;2;-;4
350830 Cabrália Paulista;-;3;-;-;-;-;3
350840 Cabreúva;11;36;5;-;13;-;65
350850 Caçapava;6;9;-;-;-;-;15
350860 Cachoeira Paulista;5;28;2;-;7;-;42
350870 Caconde;-;5;-;-;3;-;8
350880 Cafelândia;2;3;-;-;2;-;7
350890 Caiabu;-;17;-;1;12;-;30
350900 Caieiras;5;15;-;-;2;-;22
350910 Caiuá;-;6;-;-;3;-;9
350920 Cajamar;7;13;2;-;9;-;31
350925 Cajati;10;-;1;-;-;-;11
350930 Cajobi;2;45;3;-;6;-;56
350940 Cajuru;3;15;-;-;2;-;20
350950 Campinas;2762;169;19;3;66;-;3019
350960 Campo Limpo Paulista;1;5;-;-;-;-;6
350970 Campos do Jordão;1;-;-;-;1;-;2
350980 Campos Novos Paulista;-;2;-;-;1;-;3
350990 Cananéia;1;1;-;-;1;-;3
350995 Canas;-;1;-;-;-;-;1
351000 Cândido Mota;4;39;1;-;6;-;50
351010 Cândido Rodrigues;5;55;2;-;1;-;63
351020 Capão Bonito;1;-;-;-;-;-;1
351030 Capela do Alto;-;14;-;-;1;-;15
351040 Capivari;6;210;6;1;15;-;238
351050 Caraguatatuba;9;25;-;-;5;-;39
351060 Carapicuíba;25;32;3;-;30;-;90
351070 Cardoso;-;7;-;-;-;-;7
351080 Casa Branca;18;48;1;-;1;-;68
351090 Cássia dos Coqueiros;4;4;-;-;-;-;8
351100 Castilho;22;279;17;4;219;-;541
351110 Catanduva;13;85;2;-;13;-;113
351120 Catiguá;-;1;-;-;-;-;1
351130 Cedral;1;103;2;-;23;1;130
351150 Cerquilho;1;9;-;-;-;-;10
351160 Cesário Lange;1;5;-;-;1;-;7
351170 Charqueada;1;2;-;-;-;-;3
355720 Chavantes;-;13;2;-;3;-;18
351190 Clementina;-;4;-;-;2;-;6
351200 Colina;3;18;4;-;9;-;34
351210 Colômbia;-;17;2;-;17;-;36
351220 Conchal;3;24;7;-;4;-;38
351230 Conchas;-;3;-;-;-;-;3
351240 Cordeirópolis;1;3;-;-;-;-;4
351250 Coroados;-;24;2;1;5;-;32
351270 Corumbataí;-;2;-;-;-;-;2
351280 Cosmópolis;2;11;-;-;2;-;15
351290 Cosmorama;-;18;-;-;-;-;18
351300 Cotia;77;23;-;-;11;-;111
351310 Cravinhos;18;82;1;-;12;-;113
351320 Cristais Paulista;-;2;1;-;-;-;3
351330 Cruzália;-;-;-;-;1;-;1
351340 Cruzeiro;20;68;6;1;6;-;101
351350 Cubatão;15;16;-;-;15;-;46
351360 Cunha;1;3;-;-;-;-;4
351370 Descalvado;14;57;-;-;3;-;74
351380 Diadema;171;150;24;1;88;-;434
351385 Dirce Reis;2;33;1;-;7;-;43
351390 Divinolândia;-;2;-;-;-;-;2
351400 Dobrada;3;62;4;-;8;-;77
351410 Dois Córregos;-;5;-;-;-;-;5
351420 Dolcinópolis;1;112;-;-;3;-;116
351430 Dourado;-;1;-;-;-;-;1
351440 Dracena;4;46;2;-;5;-;57
351450 Duartina;-;1;-;-;2;-;3
351460 Dumont;9;145;16;-;24;1;195
351470 Echaporã;-;1;-;-;-;-;1
351480 Eldorado;-;5;2;-;2;-;9
351490 Elias Fausto;-;2;-;-;-;-;2
351492 Elisiário;-;2;-;-;-;-;2
351495 Embaúba;-;6;-;-;1;-;7
351500 Embu das Artes;16;16;4;-;21;-;57
351510 Embu-Guaçu;1;1;2;-;2;-;6
351512 Emilianópolis;-;3;1;-;1;-;5
351515 Engenheiro Coelho;-;9;1;-;9;-;19
351518 Espírito Santo do Pinhal;1;38;2;1;5;-;47
351519 Espírito Santo do Turvo;-;1;-;-;-;-;1
351520 Estrela d'Oeste;1;4;-;-;1;-;6
351530 Estrela do Norte;3;48;-;-;39;-;90
351535 Euclides da Cunha Paulista;-;13;-;-;25;-;38
351560 Fernando Prestes;-;2;-;-;-;-;2
351550 Fernandópolis;7;674;26;3;85;2;797
351570 Ferraz de Vasconcelos;10;43;3;1;14;1;72
351580 Flora Rica;-;4;-;-;-;-;4
351590 Floreal;-;9;-;-;1;-;10
351600 Flórida Paulista;5;58;3;2;21;-;89
351610 Florínia;-;-;-;-;2;-;2
351620 Franca;240;380;29;1;91;-;741
351630 Francisco Morato;226;64;14;2;62;-;368
351640 Franco da Rocha;90;48;3;-;20;1;162
351650 Gabriel Monteiro;3;21;1;-;1;-;26
351670 Garça;-;10;-;-;-;-;10
351680 Gastão Vidigal;-;1;-;-;-;-;1
351685 Gavião Peixoto;1;3;-;-;1;-;5
351690 General Salgado;16;78;4;1;13;-;112
351700 Getulina;-;5;-;-;1;-;6
351710 Glicério;-;4;-;-;1;-;5
351720 Guaiçara;-;1;-;-;2;-;3
351730 Guaimbê;-;1;-;-;-;-;1
351740 Guaíra;1494;951;63;6;187;-;2701
351750 Guapiaçu;1;161;15;-;24;-;201
351770 Guará;3;13;1;1;3;-;21
351780 Guaraçaí;3;69;2;2;19;-;95
351790 Guaraci;-;8;1;-;5;-;14
351810 Guarantã;-;43;4;-;10;-;57
351820 Guararapes;-;34;1;-;11;-;46
351830 Guararema;1;11;1;-;2;-;15
351840 Guaratinguetá;4;22;1;-;3;-;30
351850 Guareí;-;1;-;-;1;-;2
351860 Guariba;39;90;3;2;11;-;145
351870 Guarujá;459;252;23;7;210;-;951
351880 Guarulhos;263;368;47;10;244;2;934
351885 Guatapará;-;-;1;-;1;-;2
351890 Guzolândia;-;9;-;-;2;-;11
351900 Herculândia;1;26;-;-;4;-;31
351905 Holambra;1;6;-;-;4;-;11
351907 Hortolândia;1262;31;2;-;9;-;1304
351910 Iacanga;-;33;-;-;2;-;35
351920 Iacri;2;7;1;-;5;-;15
351930 Ibaté;4;14;3;-;13;-;34
351940 Ibirá;5;134;3;-;21;-;163
351950 Ibirarema;6;126;1;-;13;-;146
351960 Ibitinga;226;1618;77;8;215;4;2148
351970 Ibiúna;2;-;1;-;-;-;3
351980 Icém;2;44;3;1;8;-;58
351990 Iepê;5;20;1;-;2;-;28
352000 Igaraçu do Tietê;-;-;-;-;1;-;1
352010 Igarapava;11;9;1;-;2;-;23
352020 Igaratá;1;2;-;-;-;-;3
352030 Iguape;1;6;-;-;-;-;7
352042 Ilha Comprida;1;8;-;2;2;-;13
352044 Ilha Solteira;5;159;4;2;61;-;231
352040 Ilhabela;8;61;12;-;37;-;118
352050 Indaiatuba;12;298;23;4;131;5;473
352060 Indiana;-;21;-;-;9;-;30
352070 Indiaporã;2;16;1;-;1;-;20
352080 Inúbia Paulista;-;1;-;-;-;-;1
352090 Ipaussu;-;3;-;-;-;-;3
352100 Iperó;1;14;-;-;2;-;17
352110 Ipeúna;1;-;-;-;-;-;1
352115 Ipiguá;1;87;5;-;6;-;99
352130 Ipuã;2;107;1;-;7;-;117
352140 Iracemápolis;-;9;1;-;-;-;10
352150 Irapuã;-;1;-;-;-;-;1
352160 Irapuru;-;3;-;-;2;-;5
352170 Itaberá;-;1;-;-;-;-;1
352190 Itajobi;-;42;-;-;3;-;45
352200 Itaju;-;1;-;-;-;-;1
352210 Itanhaém;22;18;-;1;9;-;50
352220 Itapecerica da Serra;69;16;2;-;12;-;99
352230 Itapetininga;-;25;2;-;1;-;28
352240 Itapeva;-;5;-;-;1;-;6
352250 Itapevi;4;14;3;-;13;-;34
352260 Itapira;-;51;2;-;4;-;57
352270 Itápolis;162;769;22;3;110;2;1068
352280 Itaporanga;-;1;-;-;-;-;1
352290 Itapuí;-;3;-;-;-;-;3
352300 Itapura;-;8;-;-;6;-;14
352310 Itaquaquecetuba;11;35;1;1;31;-;79
352320 Itararé;-;1;-;-;-;-;1
352330 Itariri;1;-;-;-;-;-;1
352340 Itatiba;18;48;7;-;7;-;80
352360 Itirapina;-;3;-;-;1;-;4
352370 Itirapuã;1;2;1;-;-;-;4
352380 Itobi;-;1;-;-;-;-;1
352390 Itu;600;1996;140;11;546;2;3295
352400 Itupeva;3;9;3;1;2;-;18
352410 Ituverava;428;550;45;5;140;4;1172
352420 Jaborandi;1;36;3;-;10;-;50
352430 Jaboticabal;2;26;2;-;5;-;35
352440 Jacareí;64;79;4;-;11;-;158
352450 Jaci;11;127;4;1;8;-;151
352460 Jacupiranga;-;3;-;-;-;-;3
352470 Jaguariúna;-;26;-;1;1;-;28
352480 Jales;29;1366;29;23;266;4;1717
352500 Jandira;36;5;1;-;5;-;47
352510 Jardinópolis;651;399;28;5;182;3;1268
352520 Jarinu;3;6;-;-;7;-;16
352530 Jaú;2;46;2;1;4;-;55
352550 Joanópolis;1;1;-;-;1;-;3
352560 João Ramalho;-;1;-;-;3;-;4
352570 José Bonifácio;177;269;5;-;8;-;459
352580 Júlio Mesquita;-;2;-;-;2;-;4
352585 Jumirim;-;-;1;-;-;-;1
352590 Jundiaí;321;10;2;-;-;1;334
352600 Junqueirópolis;1;11;-;-;2;-;14
352610 Juquiá;-;8;-;-;2;-;10
