DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;
Casos Prováveis por Município infecção e Sexo;;;;;
Período:2016;;;;;
Município infecção;Em Branco;Ignorado;Masculino;Feminino;Total
290350 Belo Campo;-;-;1;-;1
290390 Bom Jesus da Lapa;-;-;1;-;1
290420 Botuporã;-;-;-;1;1
290570 Camaçari;-;-;1;-;1
290720 Casa Nova;-;-;-;1;1
291080 Feira de Santana;-;-;1;-;1
291150 Gongogi;-;-;-;1;1
291170 Guanambi;-;-;2;1;3
291210 Ibicaraí;-;-;-;1;1
291360 Ilhéus;-;-;1;3;4
291480 Itabuna;-;-;1;1;2
291640 Itapetinga;-;-;-;1;1
291680 Itarantim;-;-;1;-;1
291710 Itororó;-;-;-;2;2
291733 Iuiú;-;-;1;-;1
291750 Jacobina;-;-;1;1;2
292010 Mairi;-;-;-;1;1
292270 Nova Canaã;-;-;1;-;1
292450 Pindaí;-;-;1;1;2
292470 Piripá;-;-;-;1;1
292530 Porto Seguro;-;-;3;7;10
292670 Rio de Contas;-;-;1;-;1
292690 Rio do Pires;-;-;1;-;1
292740 Salvador;-;-;7;4;11
292860 Santo Amaro;-;-;-;1;1
292870 Santo Antônio de Jesus;-;-;-;2;2
293015 Serra do Ramalho;-;-;1;-;1
293070 Simões Filho;-;-;-;1;1
293105 Tanque Novo;-;-;1;-;1
293135 Teixeira de Freitas;-;-;-;1;1
293180 Tremedal;-;-;-;1;1
293330 Vitória da Conquista;-;-;2;6;8
290000 Município ignorado - BA;-;-;-;2;2
310060 Água Boa;-;-;-;1;1
310070 Água Comprida;-;-;1;-;1
310160 Alfenas;-;-;1;6;7
310190 Alpinópolis;-;-;1;-;1
310260 Andradas;-;-;1;-;1
310350 Araguari;-;-;1;-;1
310360 Arantina;-;-;1;-;1
310430 Areado;-;-;-;1;1
310480 Augusto de Lima;-;-;1;-;1
310490 Baependi;-;-;1;-;1
310500 Baldim;-;-;-;1;1
310600 Bela Vista de Minas;-;-;1;1;2
310620 Belo Horizonte;-;-;20;42;62
310670 Betim;-;-;2;1;3
310730 Bocaiúva;-;-;1;-;1
310750 Bom Jardim de Minas;-;-;1;-;1
310830 Borda da Mata;-;-;-;1;1
310860 Brasília de Minas;-;-;-;1;1
310890 Brazópolis;-;-;-;1;1
311050 Camanducaia;-;-;-;1;1
311130 Campo do Meio;-;-;-;1;1
311270 Capitão Enéas;-;-;1;-;1
311320 Carandaí;-;-;1;-;1
311340 Caratinga;-;-;2;1;3
311455 Carneirinho;-;-;1;-;1
311530 Cataguases;-;-;2;-;2
311547 Catuti;-;-;1;-;1
311570 Central de Minas;-;-;1;-;1
311650 Claro dos Poções;-;-;-;1;1
311660 Cláudio;-;-;1;1;2
311670 Coimbra;-;-;1;1;2
311730 Conceição das Alagoas;-;-;1;-;1
311770 Conceição do Rio Verde;-;-;-;2;2
311860 Contagem;-;-;5;4;9
311910 Corinto;-;-;1;4;5
311930 Coromandel;-;-;1;-;1
312090 Curvelo;-;-;-;2;2
312110 Delfim Moreira;-;-;-;1;1
312190 Divinésia;-;-;1;1;2
312230 Divinópolis;-;-;2;1;3
312240 Divisa Nova;-;-;1;-;1
312410 Esmeraldas;-;-;2;1;3
312430 Espinosa;-;-;-;1;1
312510 Extrema;-;-;-;1;1
312520 Fama;-;-;-;2;2
312640 Fortuna de Minas;-;-;1;-;1
312700 Fronteira;-;-;13;18;31
312710 Frutal;-;-;1;4;5
312770 Governador Valadares;-;-;2;3;5
312830 Guaranésia;-;-;1;2;3
312870 Guaxupé;-;-;1;-;1
312880 Guidoval;-;-;-;1;1
312930 Iapu;-;-;1;-;1
312970 Ibiraci;-;-;-;1;1
312980 Ibirité;-;-;1;-;1
313090 Inhapim;-;-;-;1;1
313100 Inhaúma;-;-;-;1;1
313130 Ipatinga;-;-;1;1;2
313240 Itajubá;-;-;2;2;4
313300 Itamonte;-;-;-;1;1
313320 Itanhomi;-;-;-;1;1
313340 Itapagipe;-;-;2;-;2
313420 Ituiutaba;-;-;-;1;1
313440 Iturama;-;-;4;7;11
313480 Jacuí;-;-;-;1;1
313490 Jacutinga;-;-;1;-;1
313570 Jequitibá;-;-;1;-;1
313620 João Monlevade;-;-;1;-;1
313670 Juiz de Fora;-;-;7;3;10
313760 Lagoa Santa;-;-;-;1;1
313820 Lavras;-;-;2;-;2
313920 Malacacheta;-;-;1;-;1
314000 Mariana;-;-;1;-;1
314053 Martins Soares;-;-;1;1;2
314140 Medina;-;-;1;1;2
314180 Minas Novas;-;-;4;-;4
314290 Monte Azul;-;-;1;2;3
314300 Monte Belo;-;-;-;1;1
314320 Monte Santo de Minas;-;-;-;1;1
314330 Montes Claros;-;-;-;5;5
314390 Muriaé;-;-;-;2;2
314520 Nova Serrana;-;-;-;1;1
314600 Ouro Fino;-;-;1;-;1
314620 Ouro Verde de Minas;-;-;1;1;2
314625 Padre Carvalho;-;-;1;-;1
314710 Pará de Minas;-;-;3;-;3
314700 Paracatu;-;-;1;1;2
314730 Paraisópolis;-;-;1;-;1
314760 Passa Quatro;-;-;1;-;1
314790 Passos;-;-;2;-;2
314795 Patis;-;-;1;-;1
314930 Pedro Leopoldo;-;-;1;-;1
314980 Perdizes;-;-;-;1;1
315070 Pirajuba;-;-;-;1;1
315090 Piranguçu;-;-;1;-;1
315120 Pirapora;-;-;1;1;2
315180 Poços de Caldas;-;-;1;1;2
315200 Pompéu;-;-;2;2;4
315210 Ponte Nova;-;-;-;3;3
315250 Pouso Alegre;-;-;1;-;1
315260 Pouso Alto;-;-;1;-;1
315280 Prata;-;-;-;1;1
315410 Recreio;-;-;-;2;2
315460 Ribeirão das Neves;-;-;2;-;2
315510 Rio do Prado;-;-;-;1;1
315580 Rio Pomba;-;-;1;-;1
315690 Sacramento;-;-;1;3;4
315727 Santa Bárbara do Monte Verde;-;-;-;2;2
315737 Santa Cruz de Salinas;-;-;-;1;1
315900 Santana do Riacho;-;-;1;-;1
316060 Santo Hipólito;-;-;1;-;1
316250 São João del Rei;-;-;2;1;3
316400 São Pedro dos Ferros;-;-;-;1;1
316470 São Sebastião do Paraíso;-;-;1;-;1
316520 São Thomé das Letras;-;-;1;-;1
316540 Sapucaí-Mirim;-;-;-;1;1
316570 Senador Firmino;-;-;1;-;1
316600 Senhora de Oliveira;-;-;-;1;1
316720 Sete Lagoas;-;-;2;-;2
316790 Tabuleiro;-;-;1;-;1
316860 Teófilo Otoni;-;-;-;2;2
316870 Timóteo;-;-;-;1;1
316900 Tocantins;-;-;1;1;2
316960 Tupaciguara;-;-;-;1;1
316970 Turmalina;-;-;-;1;1
316990 Ubá;-;-;13;7;20
317010 Uberaba;-;-;7;13;20
317020 Uberlândia;-;-;2;6;8
317057 Vargem Alegre;-;-;-;1;1
317070 Varginha;-;-;1;-;1
317130 Viçosa;-;-;-;2;2
317170 Virgínia;-;-;1;-;1
317200 Visconde do Rio Branco;-;-;3;3;6
310000 Município ignorado - MG;-;-;2;1;3
320100 Boa Esperança;-;-;1;-;1
320110 Bom Jesus do Norte;-;-;-;1;1
320130 Cariacica;-;-;-;1;1
320240 Guarapari;-;-;2;1;3
320313 João Neiva;-;-;-;1;1
320490 São Mateus;-;-;-;1;1
320500 Serra;-;-;-;1;1
320530 Vitória;-;-;3;1;4
330010 Angra dos Reis;-;-;1;-;1
330020 Araruama;-;-;1;-;1
330025 Arraial do Cabo;-;-;2;1;3
330030 Barra do Piraí;-;-;1;-;1
330040 Barra Mansa;-;-;-;1;1
330045 Belford Roxo;-;-;-;1;1
330070 Cabo Frio;-;-;5;1;6
330100 Campos dos Goytacazes;-;-;1;-;1
330140 Conceição de Macabu;-;-;-;1;1
330150 Cordeiro;-;-;-;1;1
330190 Itaboraí;-;-;1;1;2
330200 Itaguaí;-;-;1;-;1
330225 Itatiaia;-;-;-;1;1
330240 Macaé;-;-;-;1;1
330260 Mangaratiba;-;-;2;-;2
330310 Natividade;-;-;1;-;1
330320 Nilópolis;-;-;-;1;1
330330 Niterói;-;-;1;1;2
330340 Nova Friburgo;-;-;1;-;1
330350 Nova Iguaçu;-;-;-;1;1
330380 Paraty;-;-;1;1;2
330390 Petrópolis;-;-;1;1;2
330452 Rio das Ostras;-;-;1;1;2
330455 Rio de Janeiro;-;-;35;39;74
330490 São Gonçalo;-;-;-;1;1
330540 Sapucaia;-;-;-;1;1
330555 Seropédica;-;-;-;1;1
330600 Três Rios;-;-;-;1;1
330615 Varre-Sai;-;-;-;1;1
330630 Volta Redonda;-;-;1;-;1
350010 Adamantina;-;-;40;64;104
350020 Adolfo;-;-;73;50;123
350030 Aguaí;-;-;10;11;21
350040 Águas da Prata;-;-;-;1;1
350050 Águas de Lindóia;-;-;9;7;16
350055 Águas de Santa Bárbara;1;-;-;-;1
350060 Águas de São Pedro;-;-;6;-;6
350070 Agudos;-;-;17;31;48
350080 Alfredo Marcondes;-;-;3;4;7
350090 Altair;-;-;1;4;5
350100 Altinópolis;-;-;6;8;14
350110 Alto Alegre;-;-;-;2;2
350115 Alumínio;-;-;11;14;25
350120 Álvares Florence;-;-;8;11;19
350130 Álvares Machado;-;1;132;179;312
350140 Álvaro de Carvalho;-;-;1;-;1
350160 Americana;-;1;549;528;1078
350170 Américo Brasiliense;-;-;70;73;143
350180 Américo de Campos;-;-;6;9;15
350190 Amparo;-;-;18;11;29
350200 Analândia;-;-;1;-;1
350210 Andradina;-;-;631;802;1433
350220 Angatuba;-;-;43;60;103
350230 Anhembi;-;-;2;-;2
350240 Anhumas;-;-;20;31;51
350250 Aparecida;-;-;28;35;63
350260 Aparecida d'Oeste;-;-;37;37;74
350270 Apiaí;-;-;1;-;1
350275 Araçariguama;-;-;9;6;15
350280 Araçatuba;-;-;284;431;715
350290 Araçoiaba da Serra;-;-;3;4;7
350300 Aramina;-;-;8;10;18
350320 Araraquara;-;-;800;1000;1800
350330 Araras;-;-;167;235;402
350335 Arco-Íris;-;-;-;5;5
350340 Arealva;-;-;8;9;17
350350 Areias;-;-;1;-;1
350360 Areiópolis;-;-;-;2;2
350370 Ariranha;-;-;11;5;16
350380 Artur Nogueira;-;1;32;17;50
350390 Arujá;-;-;7;15;22
350395 Aspásia;-;-;1;1;2
350400 Assis;-;-;57;79;136
350410 Atibaia;-;-;38;47;85
350420 Auriflama;-;1;51;58;110
350430 Avaí;-;-;1;-;1
350440 Avanhandava;-;-;7;6;13
350450 Avaré;-;-;7;2;9
350460 Bady Bassitt;-;-;73;92;165
350470 Balbinos;-;-;-;1;1
350480 Bálsamo;-;-;33;47;80
350490 Bananal;-;-;10;2;12
350510 Barbosa;-;-;3;2;5
350520 Bariri;-;-;5;4;9
350530 Barra Bonita;1;-;11;6;18
350550 Barretos;-;-;325;516;841
350560 Barrinha;-;-;6;14;20
350570 Barueri;-;-;16;24;40
350580 Bastos;-;-;43;46;89
350590 Batatais;-;-;1904;2347;4251
350600 Bauru;-;-;629;777;1406
350610 Bebedouro;-;-;50;48;98
350620 Bento de Abreu;-;-;-;2;2
350630 Bernardino de Campos;-;-;1;1;2
350635 Bertioga;-;-;370;461;831
350640 Bilac;-;-;143;195;338
350650 Birigui;-;3;1812;2400;4215
350660 Biritiba-Mirim;-;-;7;9;16
350670 Boa Esperança do Sul;-;-;14;14;28
350680 Bocaina;-;-;5;6;11
350690 Bofete;-;-;17;20;37
350700 Boituva;-;-;6;6;12
350710 Bom Jesus dos Perdões;-;-;-;1;1
350720 Borá;-;-;1;-;1
350730 Boracéia;-;-;14;28;42
350740 Borborema;-;-;31;27;58
350750 Botucatu;-;-;48;43;91
350760 Bragança Paulista;-;-;90;100;190
350770 Braúna;-;-;3;8;11
350775 Brejo Alegre;-;-;2;1;3
350780 Brodowski;-;-;132;166;298
350790 Brotas;-;-;5;1;6
350800 Buri;-;-;-;1;1
350810 Buritama;-;-;252;346;598
350820 Buritizal;-;-;1;3;4
350830 Cabrália Paulista;-;-;2;1;3
350840 Cabreúva;-;-;39;26;65
350850 Caçapava;-;-;6;9;15
350860 Cachoeira Paulista;-;-;18;24;42
350870 Caconde;-;-;4;4;8
350880 Cafelândia;-;-;6;1;7
350890 Caiabu;-;-;10;20;30
350900 Caieiras;-;-;11;11;22
350910 Caiuá;-;-;2;7;9
350920 Cajamar;-;-;13;18;31
350925 Cajati;-;-;6;5;11
350930 Cajobi;-;-;24;32;56
350940 Cajuru;-;-;13;7;20
350950 Campinas;-;-;1395;1624;3019
350960 Campo Limpo Paulista;-;-;2;4;6
350970 Campos do Jordão;-;-;-;2;2
350980 Campos Novos Paulista;-;-;-;3;3
350990 Cananéia;-;-;3;-;3
350995 Canas;-;-;1;-;1
351000 Cândido Mota;-;-;27;23;50
351010 Cândido Rodrigues;-;-;26;37;63
351020 Capão Bonito;-;-;-;1;1
351030 Capela do Alto;-;-;7;8;15
351040 Capivari;-;-;128;110;238
351050 Caraguatatuba;-;-;22;17;39
351060 Carapicuíba;-;-;41;49;90
351070 Cardoso;-;-;1;6;7
351080 Casa Branca;-;-;41;27;68
351090 Cássia dos Coqueiros;-;-;3;5;8
351100 Castilho;-;-;246;295;541
351110 Catanduva;-;-;57;56;113
351120 Catiguá;-;-;-;1;1
351130 Cedral;-;-;47;83;130
351150 Cerquilho;-;-;5;5;10
351160 Cesário Lange;-;-;4;3;7
351170 Charqueada;-;-;3;-;3
355720 Chavantes;-;-;3;15;18
351190 Clementina;-;-;4;2;6
351200 Colina;-;-;17;17;34
351210 Colômbia;-;-;16;20;36
351220 Conchal;-;-;18;20;38
351230 Conchas;-;-;1;2;3
351240 Cordeirópolis;-;-;1;3;4
351250 Coroados;-;-;16;16;32
351270 Corumbataí;-;-;-;2;2
351280 Cosmópolis;-;-;11;4;15
351290 Cosmorama;-;-;7;11;18
351300 Cotia;-;-;56;55;111
351310 Cravinhos;-;-;46;67;113
351320 Cristais Paulista;-;-;2;1;3
351330 Cruzália;-;-;1;-;1
351340 Cruzeiro;-;-;46;55;101
351350 Cubatão;-;-;23;23;46
351360 Cunha;-;-;2;2;4
351370 Descalvado;-;-;28;46;74
351380 Diadema;-;-;201;233;434
351385 Dirce Reis;-;-;14;29;43
351390 Divinolândia;-;-;1;1;2
351400 Dobrada;-;-;32;45;77
351410 Dois Córregos;-;-;-;5;5
351420 Dolcinópolis;-;-;48;68;116
351430 Dourado;-;-;1;-;1
351440 Dracena;-;-;21;36;57
351450 Duartina;-;-;3;-;3
351460 Dumont;-;-;82;113;195
351470 Echaporã;-;-;1;-;1
351480 Eldorado;-;-;7;2;9
351490 Elias Fausto;-;-;-;2;2
351492 Elisiário;-;-;2;-;2
351495 Embaúba;-;-;3;4;7
351500 Embu das Artes;-;-;22;35;57
351510 Embu-Guaçu;-;-;5;1;6
351512 Emilianópolis;-;-;2;3;5
351515 Engenheiro Coelho;-;-;7;12;19
351518 Espírito Santo do Pinhal;-;-;21;26;47
351519 Espírito Santo do Turvo;-;-;-;1;1
351520 Estrela d'Oeste;-;-;4;2;6
351530 Estrela do Norte;-;-;39;51;90
351535 Euclides da Cunha Paulista;-;-;17;21;38
351560 Fernando Prestes;-;-;-;2;2
351550 Fernandópolis;-;-;355;442;797
351570 Ferraz de Vasconcelos;-;-;31;41;72
351580 Flora Rica;-;-;1;3;4
351590 Floreal;-;-;6;4;10
351600 Flórida Paulista;-;-;40;49;89
351610 Florínia;-;-;-;2;2
351620 Franca;-;-;371;370;741
351630 Francisco Morato;-;-;180;188;368
351640 Franco da Rocha;-;-;83;79;162
351650 Gabriel Monteiro;-;-;15;11;26
351670 Garça;-;-;4;6;10
351680 Gastão Vidigal;-;-;-;1;1
351685 Gavião Peixoto;-;-;2;3;5
351690 General Salgado;-;-;54;58;112
351700 Getulina;-;-;2;4;6
351710 Glicério;-;-;1;4;5
351720 Guaiçara;-;-;1;2;3
351730 Guaimbê;-;-;-;1;1
351740 Guaíra;-;-;1177;1524;2701
351750 Guapiaçu;-;-;92;109;201
351770 Guará;-;-;6;15;21
351780 Guaraçaí;-;-;45;50;95
351790 Guaraci;-;-;4;10;14
351810 Guarantã;-;-;27;30;57
351820 Guararapes;-;-;28;18;46
351830 Guararema;-;-;8;7;15
351840 Guaratinguetá;-;-;17;13;30
351850 Guareí;-;-;-;2;2
351860 Guariba;-;-;56;89;145
351870 Guarujá;-;1;378;572;951
351880 Guarulhos;-;-;439;495;934
351885 Guatapará;-;-;1;1;2
351890 Guzolândia;-;-;2;9;11
351900 Herculândia;-;-;10;21;31
351905 Holambra;-;-;8;3;11
351907 Hortolândia;-;10;593;701;1304
351910 Iacanga;-;-;8;27;35
351920 Iacri;-;-;7;8;15
351930 Ibaté;-;-;22;12;34
351940 Ibirá;-;-;79;84;163
351950 Ibirarema;-;-;70;76;146
351960 Ibitinga;-;-;980;1168;2148
351970 Ibiúna;-;-;3;-;3
351980 Icém;-;-;25;33;58
351990 Iepê;-;-;10;18;28
352000 Igaraçu do Tietê;-;-;1;-;1
352010 Igarapava;-;-;9;14;23
352020 Igaratá;-;-;2;1;3
352030 Iguape;-;-;6;1;7
352042 Ilha Comprida;-;-;6;7;13
352044 Ilha Solteira;-;-;91;140;231
352040 Ilhabela;-;-;58;60;118
352050 Indaiatuba;-;-;218;255;473
352060 Indiana;-;-;13;17;30
352070 Indiaporã;-;-;12;8;20
352080 Inúbia Paulista;-;-;-;1;1
352090 Ipaussu;-;-;2;1;3
352100 Iperó;-;-;6;11;17
352110 Ipeúna;-;-;-;1;1
352115 Ipiguá;-;-;43;56;99
352130 Ipuã;-;-;38;79;117
352140 Iracemápolis;-;-;7;3;10
352150 Irapuã;-;-;-;1;1
352160 Irapuru;-;-;2;3;5
352170 Itaberá;-;-;-;1;1
352190 Itajobi;-;-;19;26;45
352200 Itaju;-;-;1;-;1
352210 Itanhaém;-;-;19;31;50
352220 Itapecerica da Serra;-;-;41;58;99
352230 Itapetininga;-;-;11;17;28
352240 Itapeva;-;-;2;4;6
352250 Itapevi;-;-;13;21;34
352260 Itapira;-;-;30;27;57
352270 Itápolis;-;-;417;651;1068
352280 Itaporanga;-;-;1;-;1
352290 Itapuí;-;-;1;2;3
352300 Itapura;-;-;4;10;14
352310 Itaquaquecetuba;-;-;36;43;79
352320 Itararé;-;-;1;-;1
352330 Itariri;-;-;-;1;1
352340 Itatiba;-;-;40;40;80
352360 Itirapina;-;-;1;3;4
352370 Itirapuã;-;-;2;2;4
352380 Itobi;-;-;-;1;1
352390 Itu;-;-;1506;1789;3295
352400 Itupeva;-;-;7;11;18
352410 Ituverava;-;1;431;740;1172
352420 Jaborandi;-;-;19;31;50
352430 Jaboticabal;-;1;13;21;35
352440 Jacareí;-;-;80;78;158
352450 Jaci;-;-;71;80;151
352460 Jacupiranga;-;-;1;2;3
352470 Jaguariúna;-;-;15;13;28
352480 Jales;-;-;708;1009;1717
352500 Jandira;-;-;23;24;47
352510 Jardinópolis;-;11;574;683;1268
352520 Jarinu;-;-;9;7;16
352530 Jaú;-;-;22;33;55
352550 Joanópolis;-;-;-;3;3
352560 João Ramalho;-;-;1;3;4
352570 José Bonifácio;-;-;211;248;459
352580 Júlio Mesquita;-;-;1;3;4
352585 Jumirim;-;-;-;1;1
352590 Jundiaí;-;-;165;169;334
352600 Junqueirópolis;-;-;5;9;14
352610 Juquiá;-;-;6;4;10
352620 Juquitiba;-;-;1;1;2
352630 Lagoinha;-;-;-;2;2
352640 Laranjal Paulista;-;-;6;8;14
352650 Lavínia;-;-;12;14;26
352660 Lavrinhas;-;-;1;1;2
352670 Leme;-;-;17;21;38
352680 Lençóis Paulista;-;-;15;17;32
352690 Limeira;-;-;55;59;114
352700 Lindóia;-;-;1;2;3
352710 Lins;-;-;28;48;76
352720 Lorena;-;1;33;45;79
352725 Lourdes;-;-;3;4;7
352730 Louveira;-;-;16;10;26
352740 Lucélia;-;-;17;26;43
352750 Lucianópolis;-;-;2;-;2
352760 Luís Antônio;-;-;44;38;82
352770 Luiziânia;-;-;9;6;15
352790 Lutécia;-;-;2;7;9
352810 Macaubal;-;-;13;17;30
352820 Macedônia;-;-;12;26;38
352830 Magda;-;-;4;6;10
352840 Mairinque;-;-;2;7;9
352850 Mairiporã;-;-;11;5;16
352860 Manduri;-;-;2;4;6
352870 Marabá Paulista;-;-;4;4;8
352885 Marapoama;-;-;1;-;1
352890 Mariápolis;-;-;1;1;2
352900 Marília;-;-;105;127;232
352910 Marinópolis;-;-;2;1;3
352920 Martinópolis;-;-;79;138;217
352930 Matão;-;1;929;1259;2189
352940 Mauá;-;-;111;155;266
352950 Mendonça;-;-;52;51;103
352960 Meridiano;-;-;3;-;3
352965 Mesópolis;-;-;1;1;2
352970 Miguelópolis;-;-;27;56;83
352980 Mineiros do Tietê;-;-;2;1;3
353000 Mira Estrela;-;-;2;-;2
352990 Miracatu;-;-;4;3;7
353010 Mirandópolis;-;-;195;242;437
353020 Mirante do Paranapanema;-;-;348;454;802
353030 Mirassol;-;-;55;75;130
353040 Mirassolândia;-;-;14;15;29
353050 Mococa;-;-;123;142;265
353060 Mogi das Cruzes;-;-;108;108;216
353070 Mogi Guaçu;-;-;53;55;108
353080 Mogi Mirim;-;-;38;63;101
353100 Monções;-;-;22;21;43
353110 Mongaguá;-;-;8;14;22
353130 Monte Alto;-;-;16;20;36
353140 Monte Aprazível;-;-;52;80;132
353150 Monte Azul Paulista;-;-;229;332;561
353160 Monte Castelo;-;-;1;2;3
353180 Monte Mor;-;-;17;19;36
353190 Morro Agudo;-;-;34;40;74
353200 Morungaba;-;-;2;-;2
353205 Motuca;-;-;1;1;2
353210 Murutinga do Sul;-;-;29;40;69
353215 Nantes;-;-;4;4;8
353220 Narandiba;-;-;12;13;25
353230 Natividade da Serra;-;-;-;1;1
353240 Nazaré Paulista;-;-;1;-;1
353250 Neves Paulista;-;-;28;44;72
353260 Nhandeara;-;-;15;12;27
353270 Nipoã;-;-;5;3;8
353280 Nova Aliança;-;-;42;47;89
353284 Nova Canaã Paulista;-;-;3;1;4
353290 Nova Europa;-;-;3;2;5
353300 Nova Granada;-;-;27;39;66
353320 Nova Independência;-;-;11;19;30
353330 Nova Luzitânia;-;-;-;1;1
353340 Nova Odessa;-;-;27;30;57
353325 Novais;-;-;-;1;1
353350 Novo Horizonte;-;-;29;19;48
353360 Nuporanga;-;-;5;5;10
353390 Olímpia;-;-;77;96;173
353400 Onda Verde;-;-;6;5;11
353410 Oriente;-;-;6;7;13
353420 Orindiúva;-;-;2;3;5
353430 Orlândia;-;-;249;353;602
353440 Osasco;-;-;347;391;738
353460 Osvaldo Cruz;-;-;90;122;212
353470 Ourinhos;-;-;51;52;103
353480 Ouro Verde;-;-;2;5;7
353475 Ouroeste;-;-;39;55;94
353490 Pacaembu;-;-;19;33;52
353500 Palestina;-;-;30;23;53
353510 Palmares Paulista;-;-;4;6;10
353520 Palmeira d'Oeste;-;-;8;13;21
353530 Palmital;-;-;2;7;9
353540 Panorama;-;-;24;30;54
353550 Paraguaçu Paulista;-;-;11;21;32
353560 Paraibuna;-;-;3;2;5
353570 Paraíso;-;-;1;3;4
353580 Paranapanema;-;-;1;1;2
353590 Paranapuã;-;-;15;17;32
353600 Parapuã;-;-;8;12;20
353620 Pariquera-Açu;-;-;4;18;22
353625 Parisi;-;-;10;11;21
353640 Paulicéia;-;-;6;6;12
353650 Paulínia;-;-;23;30;53
353660 Paulo de Faria;-;-;19;24;43
353670 Pederneiras;-;-;61;75;136
353680 Pedra Bela;-;-;-;2;2
353690 Pedranópolis;-;-;-;1;1
353700 Pedregulho;-;-;5;1;6
353710 Pedreira;-;-;5;7;12
353720 Pedro de Toledo;-;-;2;-;2
353730 Penápolis;-;-;58;73;131
353740 Pereira Barreto;-;-;84;115;199
353760 Peruíbe;-;-;70;46;116
353770 Piacatu;-;-;8;8;16
353790 Pilar do Sul;-;-;-;1;1
