DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;
Casos Prováveis por Município infecção e Ocorreu hospitalização       ;;;;
Período:2014;;;;
Município infecção;Ign/Branco;Sim;Não;Total
330455 Rio de Janeiro;11;2;31;44
330475 São Francisco de Itabapoana;1;-;2;3
330490 São Gonçalo;-;-;1;1
330630 Volta Redonda;-;-;1;1
350010 Adamantina;-;2;33;35
350020 Adolfo;1;-;-;1
350030 Aguaí;8;6;506;520
350040 Águas da Prata;-;-;2;2
350050 Águas de Lindóia;-;-;3;3
350055 Águas de Santa Bárbara;2;-;3;5
350060 Águas de São Pedro;6;5;89;100
350070 Agudos;14;-;2;16
350075 Alambari;4;2;2;8
350080 Alfredo Marcondes;-;1;-;1
350090 Altair;-;1;-;1
350100 Altinópolis;1;-;-;1
350110 Alto Alegre;1;-;-;1
350115 Alumínio;-;-;6;6
350120 Álvares Florence;15;-;13;28
350130 Álvares Machado;-;-;5;5
350150 Alvinlândia;-;-;1;1
350160 Americana;3147;29;5872;9048
350170 Américo Brasiliense;4;-;61;65
350180 Américo de Campos;52;-;5;57
350190 Amparo;66;2;133;201
350200 Analândia;-;-;2;2
350210 Andradina;5;4;42;51
350250 Aparecida;18;-;29;47
350260 Aparecida d'Oeste;8;-;23;31
350275 Araçariguama;4;-;1;5
350280 Araçatuba;667;33;1105;1805
350290 Araçoiaba da Serra;1;-;5;6
350320 Araraquara;26;27;1593;1646
350330 Araras;4;3;101;108
350335 Arco-Íris;-;1;-;1
350340 Arealva;3;-;-;3
350350 Areias;1;-;-;1
350360 Areiópolis;1;-;-;1
350370 Ariranha;1;-;-;1
350380 Artur Nogueira;69;-;21;90
350390 Arujá;10;5;98;113
350395 Aspásia;2;-;5;7
350400 Assis;116;28;812;956
350410 Atibaia;899;38;434;1371
350420 Auriflama;44;5;1;50
350430 Avaí;8;4;144;156
350440 Avanhandava;2;1;2;5
350450 Avaré;2;-;1;3
350460 Bady Bassitt;4;4;5;13
350480 Bálsamo;-;1;3;4
350500 Barão de Antonina;4;-;-;4
350510 Barbosa;15;-;17;32
350520 Bariri;210;8;16;234
350530 Barra Bonita;45;-;5;50
350550 Barretos;8;5;57;70
350560 Barrinha;7;2;1;10
350570 Barueri;19;22;526;567
350580 Bastos;-;-;22;22
350590 Batatais;11;1;-;12
350600 Bauru;186;6;220;412
350610 Bebedouro;16;7;689;712
350620 Bento de Abreu;2;-;-;2
350635 Bertioga;155;4;313;472
350640 Bilac;17;-;22;39
350650 Birigui;3552;3;171;3726
350670 Boa Esperança do Sul;790;3;26;819
350680 Bocaina;4;1;44;49
350690 Bofete;-;-;1;1
350700 Boituva;1;-;2;3
350710 Bom Jesus dos Perdões;5;-;1;6
350730 Boracéia;-;1;10;11
350740 Borborema;6;1;3;10
350750 Botucatu;-;-;3;3
350760 Bragança Paulista;46;25;196;267
350770 Braúna;8;-;28;36
350775 Brejo Alegre;17;-;-;17
350780 Brodowski;3;-;1;4
350790 Brotas;16;1;193;210
350810 Buritama;116;8;1441;1565
350840 Cabreúva;1;-;12;13
350850 Caçapava;15;2;110;127
350860 Cachoeira Paulista;3;1;3;7
350870 Caconde;-;1;3;4
350880 Cafelândia;24;-;2;26
350890 Caiabu;-;-;1;1
350900 Caieiras;88;1;5;94
350910 Caiuá;-;-;5;5
350920 Cajamar;121;6;51;178
350925 Cajati;-;-;1;1
350930 Cajobi;3;7;69;79
350940 Cajuru;3;-;-;3
350945 Campina do Monte Alegre;-;1;-;1
350950 Campinas;29697;234;12399;42330
350960 Campo Limpo Paulista;172;7;91;270
350970 Campos do Jordão;3;-;1;4
350980 Campos Novos Paulista;3;-;-;3
350990 Cananéia;3;-;15;18
350995 Canas;3;-;1;4
351000 Cândido Mota;13;5;70;88
351015 Canitar;-;-;1;1
351020 Capão Bonito;-;1;16;17
351030 Capela do Alto;-;-;1;1
351040 Capivari;4;-;15;19
351050 Caraguatatuba;295;20;2019;2334
351060 Carapicuíba;282;150;924;1356
351070 Cardoso;4;-;31;35
351080 Casa Branca;87;24;1907;2018
351100 Castilho;1;-;43;44
351110 Catanduva;71;28;443;542
351120 Catiguá;5;-;4;9
351130 Cedral;1;1;1;3
351140 Cerqueira César;-;2;2;4
351150 Cerquilho;1;-;-;1
351170 Charqueada;10;-;4;14
355720 Chavantes;1;-;-;1
351190 Clementina;8;1;34;43
351200 Colina;4;1;32;37
351210 Colômbia;5;-;-;5
351220 Conchal;2;-;3;5
351230 Conchas;9;2;-;11
351240 Cordeirópolis;1;-;33;34
351250 Coroados;14;-;15;29
351270 Corumbataí;9;-;1;10
351280 Cosmópolis;29;-;43;72
351290 Cosmorama;3;-;12;15
351300 Cotia;115;9;102;226
351310 Cravinhos;15;2;70;87
351320 Cristais Paulista;2;-;-;2
351340 Cruzeiro;40;-;6;46
351350 Cubatão;4;3;44;51
351370 Descalvado;3;9;83;95
351380 Diadema;182;23;185;390
351385 Dirce Reis;1;-;-;1
351390 Divinolândia;1;-;1;2
351400 Dobrada;-;-;3;3
351410 Dois Córregos;18;8;39;65
351420 Dolcinópolis;-;-;1;1
351430 Dourado;15;-;2;17
351440 Dracena;15;12;32;59
351450 Duartina;-;-;8;8
351460 Dumont;1;-;32;33
351490 Elias Fausto;40;-;1;41
351492 Elisiário;3;-;-;3
351500 Embu das Artes;89;5;203;297
351510 Embu-Guaçu;3;-;5;8
351512 Emilianópolis;1;-;-;1
351515 Engenheiro Coelho;3;-;7;10
351518 Espírito Santo do Pinhal;-;-;7;7
355730 Estiva Gerbi;-;-;5;5
351520 Estrela d'Oeste;70;6;105;181
351530 Estrela do Norte;1;1;3;5
351535 Euclides da Cunha Paulista;5;-;2;7
351540 Fartura;1;-;1;2
351550 Fernandópolis;16;14;180;210
351565 Fernão;1;-;-;1
351570 Ferraz de Vasconcelos;8;3;13;24
351580 Flora Rica;6;-;-;6
351590 Floreal;1;-;3;4
351600 Flórida Paulista;17;5;66;88
351610 Florínia;7;-;46;53
351620 Franca;109;6;112;227
351630 Francisco Morato;109;25;707;841
351640 Franco da Rocha;76;13;1588;1677
351650 Gabriel Monteiro;4;1;4;9
351660 Gália;-;1;1;2
351670 Garça;1;1;31;33
351680 Gastão Vidigal;7;1;4;12
351685 Gavião Peixoto;-;-;1;1
351690 General Salgado;15;2;81;98
351700 Getulina;3;-;6;9
351710 Glicério;4;-;10;14
351720 Guaiçara;45;-;-;45
351740 Guaíra;1;3;42;46
351750 Guapiaçu;3;-;2;5
351780 Guaraçaí;8;3;13;24
351800 Guarani d'Oeste;-;-;1;1
351810 Guarantã;47;-;1;48
351820 Guararapes;35;44;380;459
351830 Guararema;17;-;6;23
351840 Guaratinguetá;3;5;81;89
351860 Guariba;1;-;4;5
351870 Guarujá;15;10;261;286
351880 Guarulhos;910;135;4208;5253
351885 Guatapará;2;-;-;2
351890 Guzolândia;-;-;7;7
351900 Herculândia;-;-;5;5
351905 Holambra;4;-;41;45
351907 Hortolândia;336;11;1771;2118
351910 Iacanga;18;1;2;21
351920 Iacri;-;-;3;3
351925 Iaras;4;1;38;43
351930 Ibaté;1;-;11;12
351940 Ibirá;2;1;1;4
351960 Ibitinga;4;-;13;17
351970 Ibiúna;1;-;6;7
351980 Icém;1;-;1;2
351990 Iepê;1;-;1;2
352000 Igaraçu do Tietê;5;-;1;6
352010 Igarapava;1;-;1;2
352020 Igaratá;-;-;1;1
352030 Iguape;1;-;9;10
352042 Ilha Comprida;21;1;12;34
352044 Ilha Solteira;64;11;253;328
352040 Ilhabela;671;14;2275;2960
352050 Indaiatuba;215;2;50;267
352070 Indiaporã;1;1;5;7
352090 Ipaussu;1;-;2;3
352100 Iperó;174;3;175;352
352110 Ipeúna;1;-;2;3
352115 Ipiguá;1;-;1;2
352130 Ipuã;-;-;14;14
352140 Iracemápolis;2;-;26;28
352150 Irapuã;2;-;-;2
352160 Irapuru;32;-;7;39
352170 Itaberá;-;-;1;1
352190 Itajobi;-;1;-;1
352200 Itaju;-;-;4;4
352210 Itanhaém;52;9;120;181
352220 Itapecerica da Serra;10;3;43;56
352230 Itapetininga;2;-;6;8
352240 Itapeva;1;-;-;1
352250 Itapevi;328;8;54;390
352260 Itapira;3;46;645;694
352270 Itápolis;72;-;52;124
352280 Itaporanga;100;2;5;107
352290 Itapuí;5;2;119;126
352300 Itapura;21;-;2;23
352310 Itaquaquecetuba;16;4;69;89
352320 Itararé;1;4;13;18
352330 Itariri;3;-;1;4
352340 Itatiba;30;1;4;35
352360 Itirapina;19;1;11;31
352380 Itobi;171;1;13;185
352390 Itu;12;1;116;129
352400 Itupeva;29;-;16;45
352410 Ituverava;-;-;3;3
352420 Jaborandi;2;-;1;3
352430 Jaboticabal;5;1;46;52
352440 Jacareí;4;4;149;157
352450 Jaci;2;2;4;8
352460 Jacupiranga;-;-;2;2
352470 Jaguariúna;39;1;13;53
352480 Jales;339;8;161;508
352490 Jambeiro;-;-;1;1
352500 Jandira;190;5;95;290
352510 Jardinópolis;1130;4;23;1157
352520 Jarinu;-;-;2;2
352530 Jaú;2165;136;2278;4579
352550 Joanópolis;1;1;1;3
352560 João Ramalho;3;1;2;6
352570 José Bonifácio;30;30;150;210
352580 Júlio Mesquita;-;-;1;1
352590 Jundiaí;101;6;229;336
352600 Junqueirópolis;3;4;122;129
352610 Juquiá;2;-;1;3
352620 Juquitiba;3;-;1;4
352630 Lagoinha;2;-;4;6
352640 Laranjal Paulista;42;1;-;43
352650 Lavínia;11;-;1;12
352670 Leme;2;3;23;28
352680 Lençóis Paulista;3;1;6;10
352690 Limeira;22;6;641;669
352710 Lins;24;3;197;224
352720 Lorena;67;-;8;75
352725 Lourdes;21;-;-;21
352730 Louveira;66;-;8;74
352740 Lucélia;-;1;25;26
352760 Luís Antônio;2;-;4;6
352770 Luiziânia;1;1;9;11
352800 Macatuba;2;4;6;12
352810 Macaubal;9;-;1;10
352820 Macedônia;4;-;4;8
352830 Magda;-;-;10;10
352840 Mairinque;2;-;13;15
352850 Mairiporã;812;63;3776;4651
352880 Maracaí;11;2;10;23
352890 Mariápolis;1;4;31;36
352900 Marília;25;37;1714;1776
352910 Marinópolis;1;-;4;5
352920 Martinópolis;5;1;2;8
352930 Matão;10;3;157;170
352940 Mauá;1;1;6;8
352950 Mendonça;17;-;3;20
352960 Meridiano;12;-;7;19
352965 Mesópolis;-;1;2;3
352970 Miguelópolis;-;-;3;3
352980 Mineiros do Tietê;9;-;141;150
353000 Mira Estrela;10;1;1;12
352990 Miracatu;11;1;1;13
353010 Mirandópolis;25;10;57;92
353020 Mirante do Paranapanema;10;6;9;25
353030 Mirassol;4;2;28;34
353040 Mirassolândia;-;-;1;1
353050 Mococa;5;13;353;371
353060 Mogi das Cruzes;6;2;51;59
353070 Mogi Guaçu;26;8;1077;1111
353080 Mogi Mirim;23;11;1014;1048
353100 Monções;4;-;2;6
353110 Mongaguá;266;5;20;291
353120 Monte Alegre do Sul;-;2;2;4
353130 Monte Alto;3;2;12;17
353140 Monte Aprazível;10;9;73;92
353150 Monte Azul Paulista;6;-;20;26
353160 Monte Castelo;2;-;4;6
353180 Monte Mor;203;-;18;221
353190 Morro Agudo;14;-;-;14
353200 Morungaba;4;-;1;5
353205 Motuca;38;-;1;39
353210 Murutinga do Sul;3;-;2;5
353215 Nantes;-;-;1;1
353220 Narandiba;18;-;-;18
353230 Natividade da Serra;12;-;1;13
353240 Nazaré Paulista;6;-;2;8
353250 Neves Paulista;1;1;8;10
353260 Nhandeara;4;7;73;84
353270 Nipoã;1;-;1;2
353282 Nova Campina;-;1;-;1
353286 Nova Castilho;1;-;-;1
353290 Nova Europa;8;1;-;9
353320 Nova Independência;4;-;2;6
353330 Nova Luzitânia;-;-;10;10
353340 Nova Odessa;55;1;523;579
353325 Novais;2;-;-;2
353350 Novo Horizonte;2;-;11;13
353360 Nuporanga;1;-;-;1
353370 Ocauçu;3;-;2;5
353390 Olímpia;115;5;20;140
353410 Oriente;4;1;4;9
353420 Orindiúva;1;-;-;1
353430 Orlândia;4;1;23;28
353440 Osasco;1911;177;3068;5156
353450 Oscar Bressane;1;-;12;13
353460 Osvaldo Cruz;-;-;9;9
353470 Ourinhos;5;16;170;191
353480 Ouro Verde;17;1;9;27
353475 Ouroeste;17;-;16;33
353490 Pacaembu;-;-;14;14
353500 Palestina;3;1;1;5
353510 Palmares Paulista;1;-;-;1
353520 Palmeira d'Oeste;12;5;27;44
353530 Palmital;3;1;65;69
353540 Panorama;2;2;5;9
353550 Paraguaçu Paulista;62;3;87;152
353570 Paraíso;-;-;3;3
353590 Paranapuã;17;-;3;20
353600 Parapuã;3;5;26;34
353620 Pariquera-Açu;6;1;7;14
353625 Parisi;87;-;34;121
353640 Paulicéia;1;-;3;4
353650 Paulínia;847;3;34;884
353660 Paulo de Faria;-;-;4;4
353670 Pederneiras;3;1;58;62
353690 Pedranópolis;-;-;14;14
353710 Pedreira;912;6;138;1056
353715 Pedrinhas Paulista;2;-;5;7
353720 Pedro de Toledo;-;-;1;1
353730 Penápolis;205;3;66;274
353740 Pereira Barreto;25;-;-;25
353750 Pereiras;1;-;-;1
353760 Peruíbe;174;4;13;191
353770 Piacatu;47;-;2;49
353780 Piedade;-;-;1;1
353790 Pilar do Sul;-;-;2;2
353800 Pindamonhangaba;2049;10;825;2884
353810 Pindorama;3;-;-;3
353820 Pinhalzinho;2;-;-;2
353860 Piracaia;6;1;5;12
353870 Piracicaba;113;5;837;955
353880 Piraju;-;-;1;1
353890 Pirajuí;10;-;-;10
353900 Pirangi;26;-;-;26
353910 Pirapora do Bom Jesus;-;1;48;49
353920 Pirapozinho;14;3;-;17
353930 Pirassununga;20;1;63;84
353950 Pitangueiras;34;-;6;40
353960 Planalto;29;-;4;33
353970 Platina;1;-;1;2
353980 Poá;13;1;1;15
353990 Poloni;-;-;1;1
354000 Pompéia;3;9;17;29
354020 Pontal;30;1;78;109
354025 Pontalinda;2;-;3;5
354030 Pontes Gestal;3;1;12;16
354040 Populina;2;-;-;2
354050 Porangaba;-;1;14;15
354060 Porto Feliz;77;-;13;90
354070 Porto Ferreira;453;3;201;657
354075 Potim;4;2;54;60
354080 Potirendaba;-;-;33;33
354090 Pradópolis;2;-;1;3
354100 Praia Grande;30;16;163;209
354105 Pratânia;-;-;1;1
354110 Presidente Alves;1;-;2;3
354120 Presidente Bernardes;2;3;6;11
354130 Presidente Epitácio;3;6;51;60
354140 Presidente Prudente;22;30;189;241
354150 Presidente Venceslau;9;1;10;20
354160 Promissão;385;5;111;501
354170 Quatá;6;2;2;10
354180 Queiroz;2;1;4;7
354190 Queluz;1;1;2;4
354200 Quintana;2;-;1;3
354210 Rafard;1;-;9;10
354220 Rancharia;9;13;53;75
354230 Redenção da Serra;8;-;19;27
354240 Regente Feijó;3;3;-;6
354260 Registro;1;-;18;19
354290 Ribeirão Bonito;10;2;157;169
354300 Ribeirão Branco;-;-;2;2
354310 Ribeirão Corrente;9;-;18;27
354320 Ribeirão do Sul;-;-;2;2
354323 Ribeirão dos Índios;-;-;1;1
354330 Ribeirão Pires;-;-;1;1
354340 Ribeirão Preto;169;3;278;450
354360 Rifaina;42;-;1;43
354370 Rincão;-;-;2;2
354380 Rinópolis;1;3;4;8
354390 Rio Claro;38;13;655;706
354400 Rio das Pedras;3;3;3;9
354410 Rio Grande da Serra;1;-;-;1
354420 Riolândia;3;1;32;36
354425 Rosana;153;29;564;746
354430 Roseira;2;-;8;10
354440 Rubiácea;6;-;-;6
354450 Rubinéia;40;-;27;67
354470 Sagres;-;-;3;3
354480 Sales;12;-;1;13
354490 Sales Oliveira;9;-;48;57
354510 Salmourão;1;1;17;19
354515 Saltinho;1;-;-;1
354520 Salto;30;3;103;136
354530 Salto de Pirapora;3;1;2;6
354540 Salto Grande;2;-;1;3
354550 Sandovalina;7;2;1;10
354560 Santa Adélia;2;2;3;7
354570 Santa Albertina;2;-;3;5
354580 Santa Bárbara d'Oeste;3054;2;75;3131
354600 Santa Branca;1;-;2;3
354610 Santa Clara d'Oeste;3;1;4;8
354620 Santa Cruz da Conceição;10;-;1;11
354630 Santa Cruz das Palmeiras;-;1;36;37
354640 Santa Cruz do Rio Pardo;1;2;56;59
354650 Santa Ernestina;1;-;-;1
354660 Santa Fé do Sul;29;8;83;120
354670 Santa Gertrudes;4;1;41;46
354680 Santa Isabel;3;8;41;52
354690 Santa Lúcia;-;1;13;14
354700 Santa Maria da Serra;29;1;11;41
354710 Santa Mercedes;1;-;-;1
354750 Santa Rita do Passa Quatro;48;1;4;53
354760 Santa Rosa de Viterbo;21;3;1;25
354765 Santa Salete;-;-;1;1
354720 Santana da Ponte Pensa;1;-;1;2
354730 Santana de Parnaíba;16;5;156;177
354770 Santo Anastácio;7;-;12;19
354780 Santo André;163;14;77;254
354790 Santo Antônio da Alegria;1;-;-;1
354800 Santo Antônio de Posse;387;3;5;395
354805 Santo Antônio do Aracanguá;5;-;83;88
354840 Santópolis do Aguapeí;9;-;-;9
354850 Santos;1003;41;1247;2291
354860 São Bento do Sapucaí;-;-;1;1
354870 São Bernardo do Campo;44;34;433;511
354880 São Caetano do Sul;13;3;19;35
354890 São Carlos;88;4;194;286
354900 São Francisco;5;-;2;7
354910 São João da Boa Vista;4;25;513;542
354930 São João do Pau d'Alho;2;-;2;4
354940 São Joaquim da Barra;31;-;59;90
354960 São José do Barreiro;2;-;6;8
354970 São José do Rio Pardo;3;2;31;36
354980 São José do Rio Preto;757;38;487;1282
354990 São José dos Campos;99;-;590;689
354995 São Lourenço da Serra;-;-;1;1
355000 São Luís do Paraitinga;3;1;2;6
355010 São Manuel;2;-;4;6
355020 São Miguel Arcanjo;-;-;1;1
355030 São Paulo;6787;1264;21721;29772
355040 São Pedro;215;16;750;981
355050 São Pedro do Turvo;1;-;2;3
355060 São Roque;58;-;10;68
355070 São Sebastião;1125;14;389;1528
355080 São Sebastião da Grama;-;-;1;1
355100 São Vicente;60;25;146;231
355110 Sarapuí;-;-;1;1
355130 Sebastianópolis do Sul;-;1;2;3
355140 Serra Azul;2;1;1;4
355160 Serra Negra;17;1;6;24
355150 Serrana;2;-;38;40
355170 Sertãozinho;12;3;179;194
355180 Sete Barras;1;-;1;2
355190 Severínia;6;2;20;28
355210 Socorro;3;1;-;4
355220 Sorocaba;132;5;232;369
355230 Sud Mennucci;10;-;-;10
355240 Sumaré;2526;46;933;3505
355255 Suzanápolis;17;-;31;48
355250 Suzano;9;1;8;18
355260 Tabapuã;-;3;5;8
355270 Tabatinga;3;-;-;3
355280 Taboão da Serra;467;11;479;957
355290 Taciba;2;-;-;2
355310 Taiaçu;-;-;1;1
355330 Tambaú;18;13;242;273
355340 Tanabi;8;6;163;177
355360 Tapiratiba;1;-;3;4
355365 Taquaral;-;-;1;1
355370 Taquaritinga;107;1;3;111
355390 Tarabai;-;2;9;11
355395 Tarumã;37;25;53;115
355400 Tatuí;2;1;23;26
355410 Taubaté;1670;259;7999;9928
355420 Tejupá;-;-;2;2
355430 Teodoro Sampaio;14;2;3;19
355440 Terra Roxa;3;1;-;4
355450 Tietê;4;-;7;11
355470 Torrinha;4;5;10;19
355475 Trabiju;22;1;36;59
355480 Tremembé;378;2;356;736
355490 Três Fronteiras;3;1;3;7
355495 Tuiuti;-;2;-;2
355500 Tupã;12;29;809;850
355510 Tupi Paulista;1;1;5;7
355520 Turiúba;13;-;13;26
355530 Turmalina;2;1;3;6
355535 Ubarana;57;2;25;84
355540 Ubatuba;903;10;353;1266
355550 Ubirajara;4;-;1;5
355560 Uchoa;17;1;5;23
355580 Urânia;1;-;4;5
355600 Urupês;3;-;-;3
355610 Valentim Gentil;4;1;72;77
355620 Valinhos;21;12;180;213
355630 Valparaíso;-;2;22;24
355635 Vargem;-;1;1;2
355640 Vargem Grande do Sul;3;1;24;28
355645 Vargem Grande Paulista;2;-;2;4
355650 Várzea Paulista;133;10;319;462
355660 Vera Cruz;-;1;8;9
355670 Vinhedo;3;10;168;181
