DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;;
Casos Prováveis por Município infecção e Evolução;;;;;;
Período:2016;;;;;;
Município infecção;Ign/Branco;Cura;Óbito pelo agravo notificado;Óbito por outra causa;Óbito em investigação;Total
270850 São Luís do Quitunde;-;4;-;-;-;4
270880 São Sebastião;-;1;-;-;-;1
270895 Senador Rui Palmeira;-;1;-;-;-;1
270910 Taquarana;1;-;-;-;-;1
280030 Aracaju;1;-;-;-;-;1
280310 Itabi;-;1;-;-;-;1
280740 Tobias Barreto;-;1;-;-;-;1
290040 Água Fria;-;1;-;-;-;1
290280 Barra da Estiva;-;1;-;-;-;1
290350 Belo Campo;-;1;-;-;-;1
290390 Bom Jesus da Lapa;-;1;-;-;-;1
290420 Botuporã;-;1;-;-;-;1
290570 Camaçari;-;1;-;-;-;1
290720 Casa Nova;1;-;-;-;-;1
291080 Feira de Santana;-;1;-;-;-;1
291150 Gongogi;1;-;-;-;-;1
291170 Guanambi;-;3;-;-;-;3
291210 Ibicaraí;-;1;-;-;-;1
291360 Ilhéus;-;4;-;-;-;4
291480 Itabuna;-;2;-;-;-;2
291640 Itapetinga;-;1;-;-;-;1
291680 Itarantim;1;-;-;-;-;1
291710 Itororó;1;1;-;-;-;2
291733 Iuiú;-;1;-;-;-;1
291750 Jacobina;-;2;-;-;-;2
292010 Mairi;-;1;-;-;-;1
292270 Nova Canaã;-;1;-;-;-;1
292450 Pindaí;-;2;-;-;-;2
292470 Piripá;1;-;-;-;-;1
292530 Porto Seguro;-;10;-;-;-;10
292670 Rio de Contas;-;1;-;-;-;1
292690 Rio do Pires;-;1;-;-;-;1
292740 Salvador;-;11;-;-;-;11
292860 Santo Amaro;-;1;-;-;-;1
292870 Santo Antônio de Jesus;-;2;-;-;-;2
293015 Serra do Ramalho;-;1;-;-;-;1
293070 Simões Filho;-;1;-;-;-;1
293105 Tanque Novo;-;1;-;-;-;1
293135 Teixeira de Freitas;-;1;-;-;-;1
293180 Tremedal;-;1;-;-;-;1
293330 Vitória da Conquista;1;7;-;-;-;8
290000 Município ignorado - BA;-;2;-;-;-;2
310060 Água Boa;-;1;-;-;-;1
310070 Água Comprida;-;1;-;-;-;1
310160 Alfenas;-;7;-;-;-;7
310190 Alpinópolis;-;1;-;-;-;1
310260 Andradas;-;1;-;-;-;1
310350 Araguari;-;1;-;-;-;1
310360 Arantina;-;1;-;-;-;1
310430 Areado;-;1;-;-;-;1
310480 Augusto de Lima;-;1;-;-;-;1
310490 Baependi;-;1;-;-;-;1
310500 Baldim;-;1;-;-;-;1
310600 Bela Vista de Minas;1;1;-;-;-;2
310620 Belo Horizonte;5;57;-;-;-;62
310670 Betim;3;-;-;-;-;3
310730 Bocaiúva;1;-;-;-;-;1
310750 Bom Jardim de Minas;-;1;-;-;-;1
310830 Borda da Mata;-;1;-;-;-;1
310860 Brasília de Minas;-;1;-;-;-;1
310890 Brazópolis;-;1;-;-;-;1
311050 Camanducaia;1;-;-;-;-;1
311130 Campo do Meio;-;1;-;-;-;1
311270 Capitão Enéas;-;1;-;-;-;1
311320 Carandaí;-;1;-;-;-;1
311340 Caratinga;-;3;-;-;-;3
311455 Carneirinho;-;1;-;-;-;1
311530 Cataguases;-;2;-;-;-;2
311547 Catuti;-;1;-;-;-;1
311570 Central de Minas;-;1;-;-;-;1
311650 Claro dos Poções;-;1;-;-;-;1
311660 Cláudio;1;1;-;-;-;2
311670 Coimbra;-;2;-;-;-;2
311730 Conceição das Alagoas;-;1;-;-;-;1
311770 Conceição do Rio Verde;-;2;-;-;-;2
311860 Contagem;1;8;-;-;-;9
311910 Corinto;-;5;-;-;-;5
311930 Coromandel;-;1;-;-;-;1
312090 Curvelo;-;2;-;-;-;2
312110 Delfim Moreira;-;1;-;-;-;1
312190 Divinésia;-;2;-;-;-;2
312230 Divinópolis;-;3;-;-;-;3
312240 Divisa Nova;1;-;-;-;-;1
312410 Esmeraldas;1;2;-;-;-;3
312430 Espinosa;-;1;-;-;-;1
312510 Extrema;-;1;-;-;-;1
312520 Fama;1;1;-;-;-;2
312640 Fortuna de Minas;-;1;-;-;-;1
312700 Fronteira;1;30;-;-;-;31
312710 Frutal;2;3;-;-;-;5
312770 Governador Valadares;-;5;-;-;-;5
312830 Guaranésia;-;3;-;-;-;3
312870 Guaxupé;-;1;-;-;-;1
312880 Guidoval;-;1;-;-;-;1
312930 Iapu;-;1;-;-;-;1
312970 Ibiraci;-;1;-;-;-;1
312980 Ibirité;-;1;-;-;-;1
313090 Inhapim;-;1;-;-;-;1
313100 Inhaúma;-;1;-;-;-;1
313130 Ipatinga;-;2;-;-;-;2
313240 Itajubá;-;4;-;-;-;4
313300 Itamonte;-;1;-;-;-;1
313320 Itanhomi;1;-;-;-;-;1
313340 Itapagipe;-;2;-;-;-;2
313420 Ituiutaba;-;1;-;-;-;1
313440 Iturama;-;11;-;-;-;11
313480 Jacuí;1;-;-;-;-;1
313490 Jacutinga;-;1;-;-;-;1
313570 Jequitibá;-;1;-;-;-;1
313620 João Monlevade;-;1;-;-;-;1
313670 Juiz de Fora;1;9;-;-;-;10
313760 Lagoa Santa;-;1;-;-;-;1
313820 Lavras;2;-;-;-;-;2
313920 Malacacheta;-;1;-;-;-;1
314000 Mariana;-;1;-;-;-;1
314053 Martins Soares;-;2;-;-;-;2
314140 Medina;1;1;-;-;-;2
314180 Minas Novas;-;4;-;-;-;4
314290 Monte Azul;1;2;-;-;-;3
314300 Monte Belo;-;1;-;-;-;1
314320 Monte Santo de Minas;-;1;-;-;-;1
314330 Montes Claros;1;4;-;-;-;5
314390 Muriaé;1;1;-;-;-;2
314520 Nova Serrana;-;1;-;-;-;1
314600 Ouro Fino;-;1;-;-;-;1
314620 Ouro Verde de Minas;2;-;-;-;-;2
314625 Padre Carvalho;-;1;-;-;-;1
314710 Pará de Minas;-;3;-;-;-;3
314700 Paracatu;-;2;-;-;-;2
314730 Paraisópolis;-;1;-;-;-;1
314760 Passa Quatro;-;1;-;-;-;1
314790 Passos;-;2;-;-;-;2
314795 Patis;-;1;-;-;-;1
314930 Pedro Leopoldo;-;1;-;-;-;1
314980 Perdizes;-;1;-;-;-;1
315070 Pirajuba;-;1;-;-;-;1
315090 Piranguçu;-;1;-;-;-;1
315120 Pirapora;-;2;-;-;-;2
315180 Poços de Caldas;-;2;-;-;-;2
315200 Pompéu;1;3;-;-;-;4
315210 Ponte Nova;-;3;-;-;-;3
315250 Pouso Alegre;-;1;-;-;-;1
315260 Pouso Alto;-;1;-;-;-;1
315280 Prata;-;1;-;-;-;1
315410 Recreio;1;1;-;-;-;2
315460 Ribeirão das Neves;-;2;-;-;-;2
315510 Rio do Prado;-;1;-;-;-;1
315580 Rio Pomba;-;1;-;-;-;1
315690 Sacramento;2;2;-;-;-;4
315727 Santa Bárbara do Monte Verde;-;2;-;-;-;2
315737 Santa Cruz de Salinas;-;1;-;-;-;1
315900 Santana do Riacho;1;-;-;-;-;1
316060 Santo Hipólito;-;1;-;-;-;1
316250 São João del Rei;-;3;-;-;-;3
316400 São Pedro dos Ferros;-;1;-;-;-;1
316470 São Sebastião do Paraíso;1;-;-;-;-;1
316520 São Thomé das Letras;-;1;-;-;-;1
316540 Sapucaí-Mirim;-;1;-;-;-;1
316570 Senador Firmino;-;1;-;-;-;1
316600 Senhora de Oliveira;-;1;-;-;-;1
316720 Sete Lagoas;1;1;-;-;-;2
316790 Tabuleiro;-;1;-;-;-;1
316860 Teófilo Otoni;1;1;-;-;-;2
316870 Timóteo;-;1;-;-;-;1
316900 Tocantins;-;2;-;-;-;2
316960 Tupaciguara;-;1;-;-;-;1
316970 Turmalina;-;1;-;-;-;1
316990 Ubá;1;19;-;-;-;20
317010 Uberaba;4;16;-;-;-;20
317020 Uberlândia;2;6;-;-;-;8
317057 Vargem Alegre;-;1;-;-;-;1
317070 Varginha;1;-;-;-;-;1
317130 Viçosa;1;1;-;-;-;2
317170 Virgínia;-;1;-;-;-;1
317200 Visconde do Rio Branco;2;4;-;-;-;6
310000 Município ignorado - MG;-;3;-;-;-;3
320100 Boa Esperança;-;1;-;-;-;1
320110 Bom Jesus do Norte;1;-;-;-;-;1
320130 Cariacica;-;1;-;-;-;1
320240 Guarapari;-;3;-;-;-;3
320313 João Neiva;-;1;-;-;-;1
320490 São Mateus;-;1;-;-;-;1
320500 Serra;-;1;-;-;-;1
320530 Vitória;2;2;-;-;-;4
330010 Angra dos Reis;1;-;-;-;-;1
330020 Araruama;-;1;-;-;-;1
330025 Arraial do Cabo;-;3;-;-;-;3
330030 Barra do Piraí;-;1;-;-;-;1
330040 Barra Mansa;-;1;-;-;-;1
330045 Belford Roxo;-;1;-;-;-;1
330070 Cabo Frio;2;4;-;-;-;6
330100 Campos dos Goytacazes;-;1;-;-;-;1
330140 Conceição de Macabu;-;1;-;-;-;1
330150 Cordeiro;-;1;-;-;-;1
330190 Itaboraí;-;2;-;-;-;2
330200 Itaguaí;-;1;-;-;-;1
330225 Itatiaia;-;1;-;-;-;1
330240 Macaé;-;1;-;-;-;1
330260 Mangaratiba;-;2;-;-;-;2
330310 Natividade;-;1;-;-;-;1
330320 Nilópolis;-;1;-;-;-;1
330330 Niterói;-;2;-;-;-;2
330340 Nova Friburgo;-;1;-;-;-;1
330350 Nova Iguaçu;-;1;-;-;-;1
330380 Paraty;-;2;-;-;-;2
330390 Petrópolis;-;2;-;-;-;2
330452 Rio das Ostras;-;2;-;-;-;2
330455 Rio de Janeiro;3;71;-;-;-;74
330490 São Gonçalo;1;-;-;-;-;1
330540 Sapucaia;-;1;-;-;-;1
330555 Seropédica;-;1;-;-;-;1
330600 Três Rios;-;1;-;-;-;1
330615 Varre-Sai;-;1;-;-;-;1
330630 Volta Redonda;-;1;-;-;-;1
350010 Adamantina;1;103;-;-;-;104
350020 Adolfo;-;123;-;-;-;123
350030 Aguaí;1;20;-;-;-;21
350040 Águas da Prata;-;1;-;-;-;1
350050 Águas de Lindóia;-;16;-;-;-;16
350055 Águas de Santa Bárbara;-;1;-;-;-;1
350060 Águas de São Pedro;-;6;-;-;-;6
350070 Agudos;-;48;-;-;-;48
350080 Alfredo Marcondes;-;7;-;-;-;7
350090 Altair;1;4;-;-;-;5
350100 Altinópolis;2;11;-;1;-;14
350110 Alto Alegre;-;2;-;-;-;2
350115 Alumínio;-;25;-;-;-;25
350120 Álvares Florence;1;18;-;-;-;19
350130 Álvares Machado;36;275;1;-;-;312
350140 Álvaro de Carvalho;1;-;-;-;-;1
350160 Americana;206;871;1;-;-;1078
350170 Américo Brasiliense;-;143;-;-;-;143
350180 Américo de Campos;-;15;-;-;-;15
350190 Amparo;1;28;-;-;-;29
350200 Analândia;-;1;-;-;-;1
350210 Andradina;3;1428;1;1;-;1433
350220 Angatuba;2;101;-;-;-;103
350230 Anhembi;-;2;-;-;-;2
350240 Anhumas;-;51;-;-;-;51
350250 Aparecida;2;61;-;-;-;63
350260 Aparecida d'Oeste;4;70;-;-;-;74
350270 Apiaí;1;-;-;-;-;1
350275 Araçariguama;-;15;-;-;-;15
350280 Araçatuba;2;713;-;-;-;715
350290 Araçoiaba da Serra;1;6;-;-;-;7
350300 Aramina;1;17;-;-;-;18
350320 Araraquara;1;1799;-;-;-;1800
350330 Araras;2;400;-;-;-;402
350335 Arco-Íris;-;5;-;-;-;5
350340 Arealva;-;17;-;-;-;17
350350 Areias;-;1;-;-;-;1
350360 Areiópolis;-;2;-;-;-;2
350370 Ariranha;-;16;-;-;-;16
350380 Artur Nogueira;7;43;-;-;-;50
350390 Arujá;5;17;-;-;-;22
350395 Aspásia;-;2;-;-;-;2
350400 Assis;1;135;-;-;-;136
350410 Atibaia;64;20;1;-;-;85
350420 Auriflama;6;104;-;-;-;110
350430 Avaí;-;1;-;-;-;1
350440 Avanhandava;13;-;-;-;-;13
350450 Avaré;1;8;-;-;-;9
350460 Bady Bassitt;14;151;-;-;-;165
350470 Balbinos;-;1;-;-;-;1
350480 Bálsamo;-;80;-;-;-;80
350490 Bananal;-;12;-;-;-;12
350510 Barbosa;-;5;-;-;-;5
350520 Bariri;-;9;-;-;-;9
350530 Barra Bonita;-;18;-;-;-;18
350550 Barretos;14;826;-;1;-;841
350560 Barrinha;4;16;-;-;-;20
350570 Barueri;3;37;-;-;-;40
350580 Bastos;3;86;-;-;-;89
350590 Batatais;8;4242;1;-;-;4251
350600 Bauru;3;1402;1;-;-;1406
350610 Bebedouro;-;98;-;-;-;98
350620 Bento de Abreu;-;2;-;-;-;2
350630 Bernardino de Campos;1;1;-;-;-;2
350635 Bertioga;7;824;-;-;-;831
350640 Bilac;52;286;-;-;-;338
350650 Birigui;125;4088;2;-;-;4215
350660 Biritiba-Mirim;-;16;-;-;-;16
350670 Boa Esperança do Sul;-;28;-;-;-;28
350680 Bocaina;1;10;-;-;-;11
350690 Bofete;1;36;-;-;-;37
350700 Boituva;-;12;-;-;-;12
350710 Bom Jesus dos Perdões;-;1;-;-;-;1
350720 Borá;-;1;-;-;-;1
350730 Boracéia;-;42;-;-;-;42
350740 Borborema;4;54;-;-;-;58
350750 Botucatu;-;91;-;-;-;91
350760 Bragança Paulista;1;189;-;-;-;190
350770 Braúna;-;11;-;-;-;11
350775 Brejo Alegre;-;3;-;-;-;3
350780 Brodowski;3;295;-;-;-;298
350790 Brotas;-;6;-;-;-;6
350800 Buri;-;1;-;-;-;1
350810 Buritama;8;590;-;-;-;598
350820 Buritizal;-;4;-;-;-;4
350830 Cabrália Paulista;-;3;-;-;-;3
350840 Cabreúva;1;64;-;-;-;65
350850 Caçapava;1;14;-;-;-;15
350860 Cachoeira Paulista;-;42;-;-;-;42
350870 Caconde;-;8;-;-;-;8
350880 Cafelândia;-;7;-;-;-;7
350890 Caiabu;-;30;-;-;-;30
350900 Caieiras;2;20;-;-;-;22
350910 Caiuá;6;3;-;-;-;9
350920 Cajamar;12;19;-;-;-;31
350925 Cajati;-;11;-;-;-;11
350930 Cajobi;-;56;-;-;-;56
350940 Cajuru;3;17;-;-;-;20
350950 Campinas;93;2925;-;-;1;3019
350960 Campo Limpo Paulista;-;6;-;-;-;6
350970 Campos do Jordão;-;2;-;-;-;2
350980 Campos Novos Paulista;2;1;-;-;-;3
350990 Cananéia;-;3;-;-;-;3
350995 Canas;1;-;-;-;-;1
351000 Cândido Mota;-;49;1;-;-;50
351010 Cândido Rodrigues;25;38;-;-;-;63
351020 Capão Bonito;-;1;-;-;-;1
351030 Capela do Alto;-;15;-;-;-;15
351040 Capivari;25;213;-;-;-;238
351050 Caraguatatuba;6;33;-;-;-;39
351060 Carapicuíba;1;88;1;-;-;90
351070 Cardoso;-;7;-;-;-;7
351080 Casa Branca;3;65;-;-;-;68
351090 Cássia dos Coqueiros;5;3;-;-;-;8
351100 Castilho;5;536;-;-;-;541
351110 Catanduva;4;108;1;-;-;113
351120 Catiguá;-;1;-;-;-;1
351130 Cedral;1;129;-;-;-;130
351150 Cerquilho;-;10;-;-;-;10
351160 Cesário Lange;5;2;-;-;-;7
351170 Charqueada;-;3;-;-;-;3
355720 Chavantes;-;18;-;-;-;18
351190 Clementina;1;5;-;-;-;6
351200 Colina;-;34;-;-;-;34
351210 Colômbia;-;36;-;-;-;36
351220 Conchal;-;38;-;-;-;38
351230 Conchas;1;2;-;-;-;3
351240 Cordeirópolis;-;4;-;-;-;4
351250 Coroados;-;32;-;-;-;32
351270 Corumbataí;-;2;-;-;-;2
351280 Cosmópolis;1;14;-;-;-;15
351290 Cosmorama;1;17;-;-;-;18
351300 Cotia;1;110;-;-;-;111
351310 Cravinhos;1;112;-;-;-;113
351320 Cristais Paulista;2;1;-;-;-;3
351330 Cruzália;1;-;-;-;-;1
351340 Cruzeiro;24;77;-;-;-;101
351350 Cubatão;-;46;-;-;-;46
351360 Cunha;2;2;-;-;-;4
351370 Descalvado;2;72;-;-;-;74
351380 Diadema;410;24;-;-;-;434
351385 Dirce Reis;-;43;-;-;-;43
351390 Divinolândia;-;2;-;-;-;2
351400 Dobrada;4;73;-;-;-;77
351410 Dois Córregos;-;5;-;-;-;5
351420 Dolcinópolis;1;115;-;-;-;116
351430 Dourado;-;1;-;-;-;1
351440 Dracena;-;57;-;-;-;57
351450 Duartina;-;3;-;-;-;3
351460 Dumont;187;8;-;-;-;195
351470 Echaporã;1;-;-;-;-;1
351480 Eldorado;1;8;-;-;-;9
351490 Elias Fausto;1;1;-;-;-;2
351492 Elisiário;-;2;-;-;-;2
351495 Embaúba;-;7;-;-;-;7
351500 Embu das Artes;6;51;-;-;-;57
351510 Embu-Guaçu;4;2;-;-;-;6
351512 Emilianópolis;-;5;-;-;-;5
351515 Engenheiro Coelho;15;4;-;-;-;19
351518 Espírito Santo do Pinhal;-;47;-;-;-;47
351519 Espírito Santo do Turvo;-;1;-;-;-;1
351520 Estrela d'Oeste;1;5;-;-;-;6
351530 Estrela do Norte;1;89;-;-;-;90
351535 Euclides da Cunha Paulista;8;30;-;-;-;38
351560 Fernando Prestes;-;2;-;-;-;2
351550 Fernandópolis;6;791;-;-;-;797
351570 Ferraz de Vasconcelos;64;8;-;-;-;72
351580 Flora Rica;2;2;-;-;-;4
351590 Floreal;-;10;-;-;-;10
351600 Flórida Paulista;-;89;-;-;-;89
351610 Florínia;-;2;-;-;-;2
351620 Franca;715;25;1;-;-;741
351630 Francisco Morato;39;329;-;-;-;368
351640 Franco da Rocha;5;157;-;-;-;162
351650 Gabriel Monteiro;1;25;-;-;-;26
351670 Garça;2;8;-;-;-;10
351680 Gastão Vidigal;-;1;-;-;-;1
351685 Gavião Peixoto;-;5;-;-;-;5
351690 General Salgado;4;108;-;-;-;112
351700 Getulina;1;5;-;-;-;6
351710 Glicério;-;5;-;-;-;5
351720 Guaiçara;-;3;-;-;-;3
351730 Guaimbê;-;1;-;-;-;1
351740 Guaíra;10;2690;1;-;-;2701
351750 Guapiaçu;1;200;-;-;-;201
351770 Guará;6;15;-;-;-;21
351780 Guaraçaí;5;90;-;-;-;95
351790 Guaraci;1;13;-;-;-;14
351810 Guarantã;2;55;-;-;-;57
351820 Guararapes;2;44;-;-;-;46
351830 Guararema;7;8;-;-;-;15
351840 Guaratinguetá;1;29;-;-;-;30
351850 Guareí;1;1;-;-;-;2
351860 Guariba;8;137;-;-;-;145
351870 Guarujá;6;943;2;-;-;951
351880 Guarulhos;28;905;1;-;-;934
351885 Guatapará;-;1;1;-;-;2
351890 Guzolândia;2;9;-;-;-;11
351900 Herculândia;-;31;-;-;-;31
351905 Holambra;2;9;-;-;-;11
351907 Hortolândia;1;1303;-;-;-;1304
351910 Iacanga;-;34;1;-;-;35
351920 Iacri;1;14;-;-;-;15
351930 Ibaté;1;33;-;-;-;34
351940 Ibirá;1;162;-;-;-;163
351950 Ibirarema;2;144;-;-;-;146
351960 Ibitinga;4;2141;2;-;1;2148
351970 Ibiúna;-;3;-;-;-;3
351980 Icém;-;58;-;-;-;58
351990 Iepê;7;21;-;-;-;28
352000 Igaraçu do Tietê;-;1;-;-;-;1
352010 Igarapava;14;8;1;-;-;23
352020 Igaratá;1;2;-;-;-;3
352030 Iguape;-;7;-;-;-;7
352042 Ilha Comprida;-;13;-;-;-;13
352044 Ilha Solteira;10;221;-;-;-;231
352040 Ilhabela;5;113;-;-;-;118
352050 Indaiatuba;8;465;-;-;-;473
352060 Indiana;-;30;-;-;-;30
352070 Indiaporã;-;20;-;-;-;20
352080 Inúbia Paulista;-;1;-;-;-;1
352090 Ipaussu;-;3;-;-;-;3
352100 Iperó;-;17;-;-;-;17
352110 Ipeúna;-;1;-;-;-;1
352115 Ipiguá;-;99;-;-;-;99
352130 Ipuã;11;106;-;-;-;117
352140 Iracemápolis;-;10;-;-;-;10
352150 Irapuã;-;1;-;-;-;1
352160 Irapuru;-;5;-;-;-;5
352170 Itaberá;1;-;-;-;-;1
352190 Itajobi;-;45;-;-;-;45
352200 Itaju;-;1;-;-;-;1
352210 Itanhaém;1;49;-;-;-;50
352220 Itapecerica da Serra;3;96;-;-;-;99
352230 Itapetininga;-;28;-;-;-;28
352240 Itapeva;1;5;-;-;-;6
352250 Itapevi;7;27;-;-;-;34
352260 Itapira;-;57;-;-;-;57
352270 Itápolis;-;1067;1;-;-;1068
352280 Itaporanga;-;-;-;1;-;1
352290 Itapuí;-;3;-;-;-;3
352300 Itapura;3;11;-;-;-;14
352310 Itaquaquecetuba;20;59;-;-;-;79
352320 Itararé;-;1;-;-;-;1
352330 Itariri;-;1;-;-;-;1
352340 Itatiba;2;78;-;-;-;80
352360 Itirapina;-;4;-;-;-;4
352370 Itirapuã;3;1;-;-;-;4
352380 Itobi;-;1;-;-;-;1
352390 Itu;20;3274;-;1;-;3295
352400 Itupeva;3;15;-;-;-;18
352410 Ituverava;157;1015;-;-;-;1172
352420 Jaborandi;8;42;-;-;-;50
352430 Jaboticabal;1;34;-;-;-;35
352440 Jacareí;1;157;-;-;-;158
352450 Jaci;-;151;-;-;-;151
352460 Jacupiranga;-;3;-;-;-;3
352470 Jaguariúna;-;28;-;-;-;28
352480 Jales;11;1705;1;-;-;1717
352500 Jandira;1;46;-;-;-;47
352510 Jardinópolis;891;377;-;-;-;1268
352520 Jarinu;-;16;-;-;-;16
352530 Jaú;-;55;-;-;-;55
352550 Joanópolis;-;3;-;-;-;3
352560 João Ramalho;-;4;-;-;-;4
352570 José Bonifácio;2;457;-;-;-;459
352580 Júlio Mesquita;-;4;-;-;-;4
352585 Jumirim;1;-;-;-;-;1
352590 Jundiaí;282;52;-;-;-;334
352600 Junqueirópolis;-;14;-;-;-;14
352610 Juquiá;-;10;-;-;-;10
352620 Juquitiba;-;2;-;-;-;2
352630 Lagoinha;1;1;-;-;-;2
352640 Laranjal Paulista;-;14;-;-;-;14
352650 Lavínia;24;2;-;-;-;26
352660 Lavrinhas;1;1;-;-;-;2
352670 Leme;1;37;-;-;-;38
352680 Lençóis Paulista;-;32;-;-;-;32
352690 Limeira;2;112;-;-;-;114
352700 Lindóia;1;2;-;-;-;3
352710 Lins;-;76;-;-;-;76
352720 Lorena;1;78;-;-;-;79
352725 Lourdes;-;7;-;-;-;7
352730 Louveira;4;22;-;-;-;26
352740 Lucélia;1;42;-;-;-;43
352750 Lucianópolis;-;2;-;-;-;2
352760 Luís Antônio;81;1;-;-;-;82
352770 Luiziânia;-;15;-;-;-;15
352790 Lutécia;7;2;-;-;-;9
352810 Macaubal;-;30;-;-;-;30
352820 Macedônia;1;37;-;-;-;38
352830 Magda;1;9;-;-;-;10
352840 Mairinque;1;8;-;-;-;9
352850 Mairiporã;2;14;-;-;-;16
352860 Manduri;-;6;-;-;-;6
352870 Marabá Paulista;1;7;-;-;-;8
352885 Marapoama;-;1;-;-;-;1
352890 Mariápolis;-;2;-;-;-;2
352900 Marília;4;228;-;-;-;232
352910 Marinópolis;-;3;-;-;-;3
352920 Martinópolis;6;210;1;-;-;217
352930 Matão;18;2169;2;-;-;2189
352940 Mauá;-;266;-;-;-;266
352950 Mendonça;1;102;-;-;-;103
352960 Meridiano;-;3;-;-;-;3
352965 Mesópolis;-;2;-;-;-;2
352970 Miguelópolis;9;74;-;-;-;83
352980 Mineiros do Tietê;-;3;-;-;-;3
353000 Mira Estrela;-;2;-;-;-;2
352990 Miracatu;-;7;-;-;-;7
353010 Mirandópolis;132;305;-;-;-;437
353020 Mirante do Paranapanema;29;773;-;-;-;802
353030 Mirassol;2;128;-;-;-;130
353040 Mirassolândia;3;26;-;-;-;29
353050 Mococa;5;260;-;-;-;265
353060 Mogi das Cruzes;2;214;-;-;-;216
353070 Mogi Guaçu;-;108;-;-;-;108
353080 Mogi Mirim;4;97;-;-;-;101
353100 Monções;-;43;-;-;-;43
353110 Mongaguá;3;19;-;-;-;22
353130 Monte Alto;3;33;-;-;-;36
