DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;;;
Casos Prováveis por Município infecção e Raça;;;;;;;
Período:2015;;;;;;;
Município infecção;Ign/Branco;Branca;Preta;Amarela;Parda;Indigena;Total
350060 Águas de São Pedro;3;20;1;-;1;-;25
350070 Agudos;44;566;38;3;68;-;719
350075 Alambari;-;2;1;-;-;-;3
350080 Alfredo Marcondes;-;7;-;-;1;-;8
350090 Altair;4;32;4;-;23;-;63
350100 Altinópolis;21;51;-;-;3;-;75
350110 Alto Alegre;5;40;3;-;3;-;51
350115 Alumínio;6;116;4;-;30;-;156
350120 Álvares Florence;-;25;1;-;3;-;29
350130 Álvares Machado;5;103;12;2;70;-;192
350140 Álvaro de Carvalho;-;15;1;-;10;-;26
350150 Alvinlândia;-;2;-;-;-;-;2
350160 Americana;6925;462;16;4;43;-;7450
350170 Américo Brasiliense;111;374;30;8;156;3;682
350180 Américo de Campos;4;58;1;-;3;-;66
350190 Amparo;2485;3460;192;6;427;2;6572
350200 Analândia;11;27;1;1;9;-;49
350210 Andradina;26;1264;34;19;507;3;1853
350220 Angatuba;8;96;5;-;10;-;119
350230 Anhembi;3;92;5;-;11;-;111
350240 Anhumas;6;43;3;-;22;-;74
350250 Aparecida;514;945;36;2;112;1;1610
350260 Aparecida d'Oeste;2;132;9;2;23;-;168
350270 Apiaí;1;16;1;-;2;-;20
350275 Araçariguama;35;101;8;2;37;-;183
350280 Araçatuba;575;852;62;14;243;2;1748
350290 Araçoiaba da Serra;29;43;2;1;5;-;80
350300 Aramina;-;1;-;-;-;-;1
350310 Arandu;1;4;-;-;1;-;6
350315 Arapeí;4;27;4;-;22;-;57
350320 Araraquara;834;3240;216;21;665;5;4981
350330 Araras;54;2307;87;5;189;1;2643
350335 Arco-Íris;1;5;-;-;1;-;7
350340 Arealva;150;181;3;-;6;-;340
350350 Areias;-;2;1;-;-;-;3
350360 Areiópolis;26;330;13;1;102;-;472
350370 Ariranha;7;176;5;-;26;-;214
350380 Artur Nogueira;226;510;4;-;35;-;775
350390 Arujá;34;104;11;-;60;-;209
350395 Aspásia;7;22;1;-;-;-;30
350400 Assis;1783;2546;48;3;183;-;4563
350410 Atibaia;551;355;19;19;69;1;1014
350420 Auriflama;18;136;7;-;34;-;195
350430 Avaí;13;301;17;2;39;4;376
350440 Avanhandava;9;33;9;-;18;-;69
350450 Avaré;14;155;9;4;34;-;216
350460 Bady Bassitt;198;184;14;-;15;-;411
350470 Balbinos;-;12;-;-;3;-;15
350480 Bálsamo;2;262;18;-;45;-;327
350490 Bananal;144;22;2;-;7;-;175
350500 Barão de Antonina;-;3;-;-;1;-;4
350510 Barbosa;-;86;9;-;27;-;122
350520 Bariri;4;95;2;8;17;1;127
350530 Barra Bonita;3;58;1;-;4;-;66
350540 Barra do Turvo;1;4;-;-;1;-;6
350550 Barretos;89;558;29;6;112;1;795
350560 Barrinha;1;9;-;-;8;-;18
350570 Barueri;573;630;100;12;489;3;1807
350580 Bastos;5;232;29;37;163;2;468
350590 Batatais;209;305;14;-;32;-;560
350600 Bauru;939;6217;374;121;1026;5;8682
350610 Bebedouro;143;4790;366;21;1012;1;6333
350620 Bento de Abreu;-;2;-;-;1;-;3
350630 Bernardino de Campos;7;48;3;-;1;-;59
350635 Bertioga;190;140;12;2;133;-;477
350640 Bilac;9;152;10;1;41;-;213
350650 Birigui;296;3383;156;45;711;8;4599
350660 Biritiba-Mirim;1;13;-;1;1;-;16
350670 Boa Esperança do Sul;1;58;3;1;45;-;108
350680 Bocaina;4;62;2;-;5;-;73
350690 Bofete;-;6;-;-;-;-;6
350700 Boituva;60;704;17;3;69;-;853
350710 Bom Jesus dos Perdões;155;103;7;-;27;-;292
350720 Borá;-;4;-;-;3;-;7
350730 Boracéia;-;15;-;-;5;-;20
350740 Borborema;94;367;21;2;86;-;570
350745 Borebi;-;1;-;-;-;-;1
350750 Botucatu;2;617;42;4;38;-;703
350760 Bragança Paulista;17;473;28;1;54;-;573
350770 Braúna;3;119;28;-;11;1;162
350775 Brejo Alegre;-;4;-;-;5;-;9
350780 Brodowski;4;236;7;-;37;-;284
350790 Brotas;17;196;7;1;50;-;271
350800 Buri;4;178;5;-;32;-;219
350810 Buritama;6;750;25;1;63;-;845
350820 Buritizal;-;1;-;-;-;-;1
350830 Cabrália Paulista;6;81;6;3;15;-;111
350840 Cabreúva;11;95;2;2;18;-;128
350850 Caçapava;429;460;7;2;36;-;934
350860 Cachoeira Paulista;54;249;25;-;52;1;381
350870 Caconde;1;72;3;-;9;-;85
350880 Cafelândia;25;149;13;4;32;-;223
350890 Caiabu;-;9;-;-;4;-;13
350900 Caieiras;89;117;21;1;58;-;286
350910 Caiuá;-;12;-;-;2;-;14
350920 Cajamar;636;1206;161;19;930;4;2956
350925 Cajati;-;2;-;-;9;1;12
350930 Cajobi;17;106;8;-;8;-;139
350940 Cajuru;637;155;6;-;21;-;819
350945 Campina do Monte Alegre;-;2;-;-;-;-;2
350950 Campinas;54668;3251;468;49;1192;27;59655
350960 Campo Limpo Paulista;180;202;13;1;27;-;423
350970 Campos do Jordão;1;5;-;-;-;-;6
350980 Campos Novos Paulista;5;22;1;-;3;-;31
350990 Cananéia;2;23;1;-;6;-;32
350995 Canas;-;19;5;-;3;-;27
351000 Cândido Mota;223;3800;60;6;112;-;4201
351010 Cândido Rodrigues;1;20;1;-;-;-;22
351015 Canitar;2;5;-;-;1;-;8
351020 Capão Bonito;1;54;2;-;13;-;70
351030 Capela do Alto;2;8;-;-;-;-;10
351040 Capivari;45;879;74;2;131;1;1132
351050 Caraguatatuba;1130;997;47;23;183;5;2385
351060 Carapicuíba;1187;614;124;11;413;8;2357
351070 Cardoso;2;35;3;-;7;-;47
351080 Casa Branca;359;387;19;-;38;-;803
351100 Castilho;16;299;12;4;242;-;573
351110 Catanduva;2060;7720;415;77;783;19;11074
351120 Catiguá;12;163;4;1;18;-;198
351130 Cedral;11;365;11;2;31;-;420
351140 Cerqueira César;2;8;-;-;2;-;12
351150 Cerquilho;22;143;6;-;11;-;182
351160 Cesário Lange;-;16;-;-;-;-;16
351170 Charqueada;8;40;6;-;6;-;60
355720 Chavantes;1;57;-;-;21;-;79
351190 Clementina;4;10;2;1;5;-;22
351200 Colina;28;385;13;3;151;1;581
351210 Colômbia;2;113;8;1;75;-;199
351220 Conchal;373;1294;77;11;290;2;2047
351230 Conchas;32;688;36;-;76;1;833
351240 Cordeirópolis;79;477;14;2;62;-;634
351250 Coroados;-;41;1;-;6;-;48
351260 Coronel Macedo;1;3;1;-;1;-;6
351270 Corumbataí;5;102;4;-;8;-;119
351280 Cosmópolis;84;44;8;-;14;-;150
351290 Cosmorama;2;64;3;-;3;-;72
351300 Cotia;761;405;34;4;107;-;1311
351310 Cravinhos;12;80;-;-;11;-;103
351320 Cristais Paulista;-;3;-;-;-;-;3
351330 Cruzália;1;73;12;-;-;-;86
351340 Cruzeiro;132;90;2;-;9;-;233
351350 Cubatão;101;65;5;-;37;1;209
351360 Cunha;1;6;-;-;1;-;8
351370 Descalvado;485;722;14;-;9;-;1230
351380 Diadema;1004;713;107;6;463;1;2294
351385 Dirce Reis;1;26;-;1;5;-;33
351390 Divinolândia;-;-;-;-;1;-;1
351400 Dobrada;10;32;2;-;2;-;46
351410 Dois Córregos;10;349;7;-;43;-;409
351420 Dolcinópolis;8;92;-;-;5;-;105
351430 Dourado;6;3;1;-;-;-;10
351440 Dracena;356;775;21;6;48;-;1206
351450 Duartina;1;44;5;1;7;2;60
351460 Dumont;10;141;15;-;49;-;215
351470 Echaporã;1;51;3;-;6;-;61
351480 Eldorado;-;1;-;-;-;-;1
351490 Elias Fausto;277;447;16;2;90;-;832
351492 Elisiário;13;90;2;-;13;-;118
351495 Embaúba;9;64;3;2;4;1;83
351500 Embu das Artes;90;372;81;4;351;1;899
351510 Embu-Guaçu;27;5;-;-;2;-;34
351512 Emilianópolis;-;1;-;-;-;-;1
351515 Engenheiro Coelho;42;356;7;2;99;-;506
351518 Espírito Santo do Pinhal;271;1045;38;1;62;-;1417
351519 Espírito Santo do Turvo;-;12;-;-;2;-;14
355730 Estiva Gerbi;3;2;-;-;-;-;5
351520 Estrela d'Oeste;208;1084;40;1;48;-;1381
351530 Estrela do Norte;1;1;1;-;1;-;4
351535 Euclides da Cunha Paulista;1;2;-;-;-;-;3
351540 Fartura;-;129;2;-;10;-;141
351560 Fernando Prestes;2;10;1;-;-;-;13
351550 Fernandópolis;6;947;36;6;154;-;1149
351565 Fernão;-;1;-;-;2;-;3
351570 Ferraz de Vasconcelos;167;297;33;-;157;1;655
351580 Flora Rica;1;2;-;-;3;-;6
351590 Floreal;-;16;1;-;1;-;18
351600 Flórida Paulista;55;487;25;4;170;-;741
351610 Florínia;2;40;3;-;7;-;52
351620 Franca;603;868;73;4;229;1;1778
351630 Francisco Morato;560;216;43;1;152;-;972
351640 Franco da Rocha;255;151;32;1;229;2;670
351650 Gabriel Monteiro;2;1;-;-;-;-;3
351660 Gália;3;214;20;2;49;-;288
351670 Garça;63;967;60;11;306;1;1408
351680 Gastão Vidigal;-;18;1;-;3;-;22
351685 Gavião Peixoto;1;3;-;-;1;-;5
351690 General Salgado;1;23;-;-;6;-;30
351700 Getulina;230;282;15;5;227;-;759
351710 Glicério;7;117;14;-;25;1;164
351720 Guaiçara;106;186;22;3;94;-;411
351730 Guaimbê;17;252;39;16;271;-;595
351740 Guaíra;5;1022;64;27;224;1;1343
351750 Guapiaçu;-;91;4;1;18;-;114
351760 Guapiara;-;1;-;-;-;-;1
351770 Guará;11;126;5;-;32;-;174
351780 Guaraçaí;4;62;4;3;25;-;98
351790 Guaraci;11;87;7;-;20;-;125
351800 Guarani d'Oeste;-;12;2;-;4;-;18
351810 Guarantã;7;188;9;1;61;-;266
351820 Guararapes;171;1515;49;25;768;-;2528
351830 Guararema;21;92;9;-;56;1;179
351840 Guaratinguetá;152;801;26;-;99;-;1078
351850 Guareí;-;4;-;-;-;-;4
351860 Guariba;445;38;7;-;7;-;497
351870 Guarujá;483;448;41;3;380;-;1355
351880 Guarulhos;6653;9521;1394;172;6458;60;24258
351885 Guatapará;65;40;5;2;5;-;117
351890 Guzolândia;-;62;7;-;23;-;92
351900 Herculândia;5;79;1;2;23;-;110
351905 Holambra;16;140;4;3;72;-;235
351907 Hortolândia;5499;293;14;-;47;5;5858
351910 Iacanga;10;91;-;-;8;-;109
351920 Iacri;13;50;5;1;15;-;84
351925 Iaras;-;1;-;-;2;-;3
351930 Ibaté;7;488;14;-;101;-;610
351940 Ibirá;72;279;12;-;57;-;420
351950 Ibirarema;135;102;5;-;3;-;245
351960 Ibitinga;42;663;31;3;64;-;803
351970 Ibiúna;6;16;1;-;4;-;27
351980 Icém;2;175;18;2;46;-;243
351990 Iepê;8;66;-;-;16;-;90
352000 Igaraçu do Tietê;1;1;1;-;1;-;4
352010 Igarapava;2;2;-;-;1;-;5
352020 Igaratá;14;75;4;-;7;-;100
352030 Iguape;86;92;3;1;14;-;196
352042 Ilha Comprida;26;158;8;1;35;-;228
352044 Ilha Solteira;35;407;41;11;133;1;628
352040 Ilhabela;53;452;52;6;352;1;916
352050 Indaiatuba;359;1237;68;22;279;3;1968
352060 Indiana;1;33;4;-;5;-;43
352070 Indiaporã;-;8;1;-;-;-;9
352080 Inúbia Paulista;6;120;2;1;40;-;169
352090 Ipaussu;12;242;14;2;39;-;309
352100 Iperó;323;1047;124;6;561;3;2064
352110 Ipeúna;30;119;13;1;14;-;177
352115 Ipiguá;8;109;3;1;10;-;131
352120 Iporanga;-;1;-;-;-;-;1
352130 Ipuã;1;35;1;-;9;-;46
352140 Iracemápolis;69;369;27;2;73;-;540
352150 Irapuã;13;123;1;-;5;-;142
352160 Irapuru;1;40;3;4;17;-;65
352170 Itaberá;1;8;2;-;7;-;18
352180 Itaí;1;46;1;-;15;-;63
352190 Itajobi;2;79;-;1;11;-;93
352200 Itaju;-;3;-;-;-;-;3
352210 Itanhaém;1984;1498;139;18;551;24;4214
352215 Itaóca;-;1;-;-;-;-;1
352220 Itapecerica da Serra;1032;181;29;2;130;1;1375
352230 Itapetininga;17;339;9;4;53;-;422
352240 Itapeva;3;142;4;-;29;-;178
352250 Itapevi;963;577;121;1;459;3;2124
352260 Itapira;215;3820;198;9;338;-;4580
352270 Itápolis;78;664;17;-;58;-;817
352280 Itaporanga;1;30;1;-;2;-;34
352290 Itapuí;11;101;10;-;19;-;141
352300 Itapura;4;65;-;-;25;-;94
352310 Itaquaquecetuba;190;527;54;9;348;3;1131
352320 Itararé;1;11;-;-;2;-;14
352330 Itariri;25;400;11;11;140;1;588
352340 Itatiba;77;33;7;-;8;-;125
352350 Itatinga;-;5;2;-;1;-;8
352360 Itirapina;47;366;41;4;139;-;597
352370 Itirapuã;1;21;-;-;6;-;28
352380 Itobi;8;67;-;-;6;-;81
352390 Itu;188;851;66;6;246;1;1358
352400 Itupeva;61;83;5;-;12;-;161
352410 Ituverava;20;66;6;-;10;-;102
352420 Jaborandi;5;32;2;-;3;-;42
352430 Jaboticabal;19;148;7;1;20;-;195
352440 Jacareí;2732;450;23;5;54;2;3266
352450 Jaci;8;175;4;2;15;-;204
352460 Jacupiranga;7;29;2;-;13;-;51
352470 Jaguariúna;107;750;47;3;210;1;1118
352480 Jales;103;2696;84;27;437;4;3351
352490 Jambeiro;5;7;1;-;2;-;15
352500 Jandira;287;675;39;2;213;-;1216
352510 Jardinópolis;204;42;5;-;24;1;276
352520 Jarinu;7;13;2;-;5;-;27
352530 Jaú;14;198;8;1;19;-;240
352540 Jeriquara;1;-;2;-;1;-;4
